stress_level,method,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
0.110000,particle_filter_force_belief_mpc,2880,0.581944,0.259028,0.155208,0.541319,0.059375,0.212847,0.029465,0.409363,0.282852,0.022648,0.096375,0.000000
0.110000,proposed_force_memory_transformer_v4,2880,0.614236,0.309028,0.163889,0.573958,0.062847,0.201736,0.039405,0.330953,0.250684,-0.002489,0.114675,0.000000
0.110000,risk_calibrated_force_memory_transformer_v5,2880,0.751389,0.178472,0.077431,0.711111,0.020833,0.141667,0.015839,0.373572,0.104211,0.403782,0.138075,0.000000
0.110000,robust_force_threshold_mpc,2880,0.304861,0.253819,0.142708,0.201042,0.060417,0.401736,0.011314,0.331173,0.563743,-0.238776,0.069075,0.000000
0.220000,active_tactile_probe_then_plan,2880,0.561111,0.311111,0.178472,0.625694,0.038194,0.187500,0.035252,0.487833,0.285036,-0.084651,0.182775,0.000000
0.220000,adaptive_impedance_mpc,2880,0.482986,0.259375,0.143056,0.373958,0.054861,0.269444,0.026447,0.377913,0.365977,-0.070358,0.087375,0.000000
0.220000,conformal_risk_filter,2880,0.319444,0.305208,0.152431,0.295486,0.067361,0.401736,0.007989,0.358583,0.523910,-0.290470,0.088275,0.000000
0.220000,contact_mode_hmm_mpc,2880,0.490972,0.339583,0.191319,0.460764,0.063542,0.273264,0.033209,0.335402,0.361570,-0.185994,0.087675,0.000000
0.220000,online_residual_system_id,2880,0.469792,0.324306,0.196181,0.402083,0.070833,0.261806,0.036824,0.339433,0.371288,-0.223215,0.080775,0.000000
0.220000,oracle_latent_force_planner,2880,0.892361,0.166667,0.054167,0.782639,0.023611,0.106250,0.017657,0.288537,0.000388,0.614850,0.113625,0.000000
0.220000,particle_filter_force_belief_mpc,2880,0.550347,0.285764,0.169444,0.540278,0.056944,0.216667,0.032350,0.414202,0.278442,-0.025996,0.099675,0.000000
0.220000,proposed_force_memory_transformer_v4,2880,0.605556,0.318750,0.183333,0.567708,0.057986,0.215972,0.042853,0.335792,0.247588,-0.053150,0.117975,0.000000
0.220000,risk_calibrated_force_memory_transformer_v5,2880,0.760764,0.202083,0.090625,0.710764,0.022917,0.138542,0.016921,0.378413,0.098556,0.355957,0.141375,0.000000
0.220000,robust_force_threshold_mpc,2880,0.293056,0.288542,0.152083,0.193750,0.069097,0.404861,0.010291,0.336012,0.560679,-0.288366,0.072375,0.000000
0.330000,active_tactile_probe_then_plan,2880,0.531944,0.340972,0.185764,0.623264,0.047569,0.205903,0.038152,0.492672,0.280736,-0.135847,0.186075,0.000000
0.330000,adaptive_impedance_mpc,2880,0.451042,0.304167,0.142708,0.365278,0.060764,0.273264,0.030352,0.382752,0.360249,-0.119662,0.090675,0.000000
0.330000,conformal_risk_filter,2880,0.321528,0.338542,0.168750,0.277431,0.058333,0.383333,0.010177,0.363422,0.520161,-0.341338,0.091575,0.000000
0.330000,contact_mode_hmm_mpc,2880,0.485764,0.362847,0.207986,0.447222,0.059722,0.265625,0.037110,0.340243,0.358134,-0.239475,0.090975,0.000000
0.330000,online_residual_system_id,2880,0.463542,0.371181,0.210764,0.402431,0.079514,0.256944,0.041015,0.344272,0.366207,-0.275791,0.084075,0.000000
0.330000,oracle_latent_force_planner,2880,0.875347,0.195833,0.067014,0.800694,0.022917,0.112500,0.018753,0.293378,0.000276,0.565178,0.116925,0.000000
0.330000,particle_filter_force_belief_mpc,2880,0.553472,0.337847,0.171181,0.546528,0.062153,0.225694,0.035231,0.419042,0.273522,-0.079015,0.102975,0.000000
0.330000,proposed_force_memory_transformer_v4,2880,0.598958,0.353472,0.210069,0.555903,0.064931,0.199653,0.046056,0.340633,0.242847,-0.105050,0.121275,0.000000
0.330000,risk_calibrated_force_memory_transformer_v5,2880,0.757986,0.231250,0.099653,0.703819,0.030903,0.165625,0.018046,0.383252,0.094078,0.303428,0.144675,0.000000
0.330000,robust_force_threshold_mpc,2880,0.285069,0.318750,0.167014,0.182986,0.074653,0.421181,0.010612,0.340852,0.557958,-0.343772,0.075675,0.000000
0.440000,active_tactile_probe_then_plan,2880,0.542361,0.354861,0.211806,0.593750,0.037847,0.188194,0.041014,0.497512,0.276012,-0.185538,0.189375,0.000000
0.440000,adaptive_impedance_mpc,2880,0.464583,0.312500,0.168403,0.376736,0.062500,0.299653,0.033756,0.387592,0.355185,-0.170977,0.093975,0.000000
0.440000,conformal_risk_filter,2880,0.309375,0.340625,0.177083,0.270486,0.065278,0.390972,0.012813,0.368263,0.517802,-0.394487,0.094875,0.000000
0.440000,contact_mode_hmm_mpc,2880,0.475000,0.369097,0.215625,0.456250,0.065972,0.267708,0.040254,0.345082,0.352693,-0.287915,0.094275,0.000000
0.440000,online_residual_system_id,2880,0.478819,0.384375,0.227083,0.398264,0.072917,0.273264,0.045125,0.349113,0.360575,-0.324918,0.087375,0.000000
0.440000,oracle_latent_force_planner,2880,0.880903,0.196528,0.076389,0.794444,0.023264,0.105208,0.019770,0.298218,0.000073,0.517851,0.120225,0.000000
0.440000,particle_filter_force_belief_mpc,2880,0.558333,0.332639,0.187153,0.531597,0.065972,0.246875,0.037985,0.423883,0.269147,-0.130420,0.106275,0.000000
0.440000,proposed_force_memory_transformer_v4,2880,0.586458,0.349306,0.202431,0.572917,0.067361,0.203472,0.049766,0.345472,0.239438,-0.156867,0.124575,0.000000
0.440000,risk_calibrated_force_memory_transformer_v5,2880,0.719444,0.243403,0.111458,0.712847,0.025694,0.155556,0.019157,0.388093,0.089311,0.254052,0.147975,0.000000
0.440000,robust_force_threshold_mpc,2880,0.273264,0.320833,0.168403,0.194792,0.069444,0.428472,0.012789,0.345693,0.553882,-0.393937,0.078975,0.000000
0.560000,active_tactile_probe_then_plan,2880,0.534722,0.379167,0.215278,0.610417,0.039583,0.195486,0.044159,0.502792,0.271169,-0.240172,0.192975,0.000000
0.560000,adaptive_impedance_mpc,2880,0.457986,0.355556,0.196875,0.380556,0.063194,0.291667,0.038073,0.392873,0.349852,-0.223484,0.097575,0.000000
0.560000,conformal_risk_filter,2880,0.287500,0.372222,0.202083,0.284028,0.055208,0.389931,0.016599,0.373542,0.514211,-0.451331,0.098475,0.000000
0.560000,contact_mode_hmm_mpc,2880,0.478472,0.400000,0.253472,0.457639,0.062847,0.285069,0.044346,0.350363,0.348549,-0.344059,0.097875,0.000000
0.560000,online_residual_system_id,2880,0.437153,0.413194,0.243056,0.390625,0.074653,0.283333,0.049700,0.354393,0.355298,-0.378022,0.090975,0.000000
0.560000,oracle_latent_force_planner,2880,0.877431,0.225000,0.096181,0.786111,0.023611,0.109375,0.020997,0.303498,0.000042,0.466506,0.123825,0.000000
0.560000,particle_filter_force_belief_mpc,2880,0.560069,0.367361,0.216667,0.539931,0.065278,0.243750,0.041039,0.429163,0.263687,-0.181096,0.109875,0.000000
0.560000,proposed_force_memory_transformer_v4,2880,0.578125,0.392708,0.227778,0.571875,0.068056,0.221875,0.053241,0.350752,0.233567,-0.209501,0.128175,0.000000
0.560000,risk_calibrated_force_memory_transformer_v5,2880,0.721875,0.280208,0.129514,0.703125,0.022917,0.152083,0.020338,0.393373,0.084407,0.200318,0.151575,0.000000
0.560000,robust_force_threshold_mpc,2880,0.252083,0.357639,0.193403,0.204167,0.066319,0.432639,0.016757,0.350973,0.551267,-0.451955,0.082575,0.000000
0.670000,active_tactile_probe_then_plan,2880,0.530903,0.398611,0.223264,0.595486,0.046181,0.201389,0.047275,0.507633,0.266419,-0.292596,0.196275,0.000000
0.670000,adaptive_impedance_mpc,2880,0.478472,0.354514,0.199653,0.357639,0.071181,0.311458,0.041705,0.397713,0.344576,-0.274443,0.100875,0.000000
0.670000,conformal_risk_filter,2880,0.277778,0.404514,0.211111,0.274306,0.061111,0.394444,0.020538,0.378383,0.511932,-0.505224,0.101775,0.000000
0.670000,contact_mode_hmm_mpc,2880,0.451389,0.420486,0.251389,0.461806,0.068403,0.280903,0.047885,0.355203,0.344002,-0.395390,0.101175,0.000000
0.670000,online_residual_system_id,2880,0.455208,0.425000,0.252778,0.398264,0.073958,0.276042,0.054099,0.359233,0.350210,-0.429403,0.094275,0.000000
0.670000,oracle_latent_force_planner,2880,0.867014,0.260764,0.105556,0.768403,0.022917,0.119097,0.021997,0.308337,0.000028,0.418136,0.127125,0.000000
0.670000,particle_filter_force_belief_mpc,2880,0.546528,0.399306,0.214931,0.551389,0.047569,0.245833,0.043887,0.434003,0.259198,-0.234334,0.113175,0.000000
0.670000,proposed_force_memory_transformer_v4,2880,0.574306,0.423264,0.253819,0.562153,0.069444,0.225000,0.056821,0.355592,0.230402,-0.262778,0.131475,0.000000
0.670000,risk_calibrated_force_memory_transformer_v5,2880,0.729514,0.295833,0.141319,0.707986,0.028819,0.152431,0.021504,0.398212,0.078860,0.148699,0.154875,0.000000
0.670000,robust_force_threshold_mpc,2880,0.256250,0.379514,0.195139,0.190625,0.071875,0.426389,0.021709,0.355812,0.547612,-0.504796,0.085875,0.000000
0.780000,active_tactile_probe_then_plan,2880,0.530903,0.434375,0.244444,0.595833,0.035417,0.217708,0.049825,0.512473,0.262687,-0.339491,0.199575,0.000000
0.780000,adaptive_impedance_mpc,2880,0.462153,0.384375,0.211111,0.357292,0.070486,0.301389,0.045060,0.402553,0.338566,-0.320789,0.104175,0.000000
0.780000,conformal_risk_filter,2880,0.272569,0.423611,0.243750,0.270139,0.061806,0.405208,0.023851,0.383222,0.508882,-0.555448,0.105075,0.000000
0.780000,contact_mode_hmm_mpc,2880,0.464931,0.448264,0.261111,0.433681,0.073958,0.284028,0.051184,0.360043,0.340484,-0.443984,0.104475,0.000000
0.780000,online_residual_system_id,2880,0.462847,0.458681,0.273264,0.386806,0.069097,0.272222,0.057829,0.364072,0.345806,-0.477914,0.097575,0.000000
0.780000,oracle_latent_force_planner,2880,0.861806,0.280903,0.128125,0.774306,0.022917,0.122569,0.022990,0.313178,0.000008,0.368396,0.130425,0.000000
0.780000,particle_filter_force_belief_mpc,2880,0.543056,0.402778,0.218403,0.534375,0.060417,0.250694,0.046545,0.438842,0.254497,-0.282319,0.116475,0.000000
0.780000,proposed_force_memory_transformer_v4,2880,0.561806,0.429167,0.257639,0.563194,0.064583,0.235764,0.060022,0.360433,0.225744,-0.309710,0.134775,0.000000
0.780000,risk_calibrated_force_memory_transformer_v5,2880,0.705903,0.317361,0.161458,0.693056,0.026042,0.163889,0.022492,0.403052,0.073006,0.104182,0.158175,0.000000
0.780000,robust_force_threshold_mpc,2880,0.255903,0.409722,0.221875,0.166319,0.072222,0.412153,0.026151,0.360653,0.543807,-0.552644,0.089175,0.000000
0.890000,active_tactile_probe_then_plan,2880,0.529514,0.447917,0.246528,0.588889,0.036111,0.220139,0.052400,0.517313,0.256819,-0.384152,0.202875,0.000000
0.890000,adaptive_impedance_mpc,2880,0.454167,0.398958,0.222917,0.360764,0.075347,0.321528,0.048532,0.407393,0.333038,-0.366017,0.107475,0.000000
0.890000,conformal_risk_filter,2880,0.277083,0.436806,0.255208,0.272569,0.062500,0.425694,0.027055,0.388063,0.505056,-0.601897,0.108375,0.000000
0.890000,contact_mode_hmm_mpc,2880,0.451736,0.453472,0.263889,0.438542,0.065625,0.294097,0.054281,0.364882,0.334366,-0.486548,0.107775,0.000000
0.890000,online_residual_system_id,2880,0.429861,0.467361,0.282292,0.386111,0.078125,0.294792,0.061626,0.368913,0.339164,-0.521206,0.100875,0.000000
0.890000,oracle_latent_force_planner,2880,0.859722,0.292014,0.138194,0.775694,0.022222,0.117361,0.023983,0.318017,0.000000,0.325714,0.133725,0.000000
0.890000,particle_filter_force_belief_mpc,2880,0.528125,0.415278,0.237500,0.533333,0.061458,0.245486,0.048987,0.443682,0.248886,-0.326151,0.119775,0.000000
0.890000,proposed_force_memory_transformer_v4,2880,0.560417,0.459375,0.287847,0.552431,0.065972,0.238889,0.063247,0.365272,0.220330,-0.355224,0.138075,0.000000
0.890000,risk_calibrated_force_memory_transformer_v5,2880,0.713194,0.341319,0.167014,0.701042,0.027083,0.176389,0.023469,0.407892,0.067804,0.058476,0.161475,0.000000
0.890000,robust_force_threshold_mpc,2880,0.236111,0.415278,0.232639,0.181944,0.061111,0.436111,0.030931,0.365493,0.540792,-0.600677,0.092475,0.000000
1.000000,active_tactile_probe_then_plan,2880,0.509375,0.439583,0.274306,0.600347,0.044444,0.220486,0.054657,0.522152,0.249965,-0.421828,0.206175,0.000000
1.000000,adaptive_impedance_mpc,2880,0.438889,0.444097,0.220833,0.354861,0.059028,0.313194,0.051566,0.412233,0.324804,-0.403528,0.110775,0.000000
1.000000,conformal_risk_filter,2880,0.267014,0.445486,0.257986,0.278472,0.057639,0.408333,0.030432,0.392902,0.499818,-0.642433,0.111675,0.000000
1.000000,contact_mode_hmm_mpc,2880,0.439583,0.486458,0.284375,0.440625,0.071875,0.288889,0.057231,0.369723,0.327598,-0.525862,0.111075,0.000000
1.000000,online_residual_system_id,2880,0.446528,0.496181,0.298264,0.384028,0.089236,0.286806,0.065074,0.373752,0.332237,-0.561258,0.104175,0.000000
1.000000,oracle_latent_force_planner,2880,0.854514,0.299306,0.155208,0.777083,0.025347,0.113889,0.024841,0.322858,0.000001,0.291436,0.137025,0.000000
1.000000,particle_filter_force_belief_mpc,2880,0.512500,0.446181,0.239931,0.523611,0.060764,0.256597,0.051257,0.448522,0.242566,-0.365704,0.123075,0.000000
1.000000,proposed_force_memory_transformer_v4,2880,0.560417,0.476042,0.280208,0.561806,0.067014,0.237153,0.065740,0.370113,0.214287,-0.393802,0.141375,0.000000
1.000000,risk_calibrated_force_memory_transformer_v5,2880,0.691667,0.365278,0.183681,0.678819,0.029514,0.176042,0.024410,0.412732,0.061046,0.019886,0.164775,0.000000
1.000000,robust_force_threshold_mpc,2880,0.230903,0.457639,0.226389,0.171181,0.080208,0.451736,0.034660,0.370333,0.535575,-0.639972,0.095775,0.000000
