stress_level,method,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
0.000000,active_tactile_probe_then_plan,2880,0.586458,0.261111,0.136458,0.610764,0.028472,0.182292,0.029434,0.478152,0.293516,0.014567,0.176175,0.000000
0.000000,adaptive_impedance_mpc,2880,0.493403,0.227083,0.115278,0.371528,0.064583,0.287153,0.019387,0.368233,0.376352,0.027616,0.080775,0.000000
0.000000,conformal_risk_filter,2880,0.327778,0.255556,0.137847,0.301042,0.054167,0.382292,0.007197,0.348903,0.529049,-0.188682,0.081675,0.000000
0.000000,contact_mode_hmm_mpc,2880,0.504514,0.282639,0.168750,0.464236,0.065278,0.244792,0.026565,0.325722,0.370684,-0.085836,0.081075,0.000000
0.000000,online_residual_system_id,2880,0.492014,0.309028,0.184722,0.411111,0.066667,0.250694,0.028717,0.329753,0.381941,-0.126354,0.074175,0.000000
0.000000,oracle_latent_force_planner,2880,0.899306,0.113194,0.033681,0.788542,0.023611,0.089931,0.015518,0.278857,0.001454,0.708391,0.107025,0.000000
0.000000,particle_filter_force_belief_mpc,2880,0.571875,0.252431,0.134375,0.554861,0.050694,0.206944,0.026736,0.404522,0.287187,0.071199,0.093075,0.000000
0.000000,proposed_force_memory_transformer_v4,2880,0.606250,0.278819,0.148958,0.583681,0.057986,0.200000,0.036212,0.326112,0.255301,0.046384,0.111375,0.000000
0.000000,risk_calibrated_force_memory_transformer_v5,2880,0.771181,0.177431,0.068056,0.723611,0.022917,0.138889,0.014702,0.368733,0.108598,0.451516,0.134775,0.000000
0.000000,robust_force_threshold_mpc,2880,0.304167,0.246181,0.119444,0.198611,0.060764,0.392014,0.013929,0.326332,0.566514,-0.187599,0.065775,0.000000
0.110000,active_tactile_probe_then_plan,2880,0.573264,0.282986,0.159722,0.615625,0.035069,0.179167,0.032249,0.482992,0.289256,-0.034193,0.179475,0.000000
0.110000,adaptive_impedance_mpc,2880,0.496181,0.263889,0.137500,0.385417,0.055556,0.268750,0.022827,0.373072,0.371496,-0.020089,0.084075,0.000000
0.110000,conformal_risk_filter,2880,0.337153,0.268750,0.143056,0.296181,0.053125,0.400000,0.007072,0.353742,0.526403,-0.237758,0.084975,0.000000
0.110000,contact_mode_hmm_mpc,2880,0.498264,0.302083,0.183333,0.458681,0.060417,0.267361,0.029874,0.330563,0.366671,-0.137719,0.084375,0.000000
0.110000,online_residual_system_id,2880,0.484722,0.323264,0.193750,0.416667,0.084028,0.262847,0.032805,0.334592,0.375730,-0.174593,0.077475,0.000000
0.110000,oracle_latent_force_planner,2880,0.892361,0.148264,0.044097,0.792708,0.024306,0.101736,0.016645,0.283698,0.000974,0.661970,0.110325,0.000000
