method,split,seed,mean_success,ci95_success,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_latent_accuracy,ci95_latent_accuracy,mean_false_memory_alarm,ci95_false_memory_alarm,mean_energy,ci95_energy,mean_cost,ci95_cost,groups
conformal_risk_filter,nominal,3,0.5867,0.0173,0.1446,0.0125,0.0997,0.0105,0.3983,0.0198,0.1997,0.0148,0.3093,0.0025,0.5027,0.0140,35
conformal_risk_filter,nominal,4,0.5881,0.0185,0.1330,0.0127,0.1054,0.0104,0.3769,0.0182,0.2231,0.0150,0.3096,0.0024,0.5021,0.0108,35
conformal_risk_filter,nominal,5,0.6024,0.0139,0.1276,0.0120,0.1065,0.0144,0.3929,0.0199,0.2269,0.0139,0.3090,0.0024,0.4995,0.0163,35
conformal_risk_filter,nominal,6,0.6051,0.0166,0.1255,0.0121,0.0878,0.0079,0.3912,0.0212,0.2167,0.0150,0.3087,0.0025,0.4803,0.0108,35
ensemble_uncertainty_mpc,combined_stress,0,0.4844,0.0153,0.2755,0.0155,0.1952,0.0160,0.3463,0.0153,0.2514,0.0161,0.4898,0.0025,0.8404,0.0195,35
ensemble_uncertainty_mpc,combined_stress,1,0.4701,0.0218,0.2646,0.0148,0.1823,0.0146,0.3361,0.0181,0.2432,0.0129,0.4893,0.0028,0.8217,0.0174,35
ensemble_uncertainty_mpc,combined_stress,2,0.4571,0.0162,0.2714,0.0166,0.1816,0.0123,0.3609,0.0119,0.2456,0.0140,0.4912,0.0027,0.8267,0.0179,35
ensemble_uncertainty_mpc,combined_stress,3,0.4554,0.0180,0.2718,0.0168,0.1980,0.0146,0.3473,0.0149,0.2493,0.0147,0.4895,0.0025,0.8406,0.0163,35
ensemble_uncertainty_mpc,combined_stress,4,0.4619,0.0194,0.2639,0.0179,0.1963,0.0133,0.3405,0.0200,0.2493,0.0151,0.4904,0.0024,0.8357,0.0137,35
ensemble_uncertainty_mpc,combined_stress,5,0.4701,0.0212,0.2701,0.0162,0.1881,0.0156,0.3435,0.0144,0.2554,0.0178,0.4893,0.0020,0.8301,0.0151,35
ensemble_uncertainty_mpc,combined_stress,6,0.4619,0.0184,0.2789,0.0142,0.2160,0.0155,0.3344,0.0156,0.2456,0.0168,0.4891,0.0021,0.8613,0.0159,35
ensemble_uncertainty_mpc,delayed_observation_shift,0,0.5071,0.0170,0.2276,0.0132,0.1561,0.0144,0.3789,0.0138,0.2282,0.0165,0.4118,0.0026,0.6989,0.0181,35
ensemble_uncertainty_mpc,delayed_observation_shift,1,0.5276,0.0150,0.2282,0.0153,0.1561,0.0119,0.3680,0.0218,0.2259,0.0171,0.4116,0.0019,0.6990,0.0150,35
ensemble_uncertainty_mpc,delayed_observation_shift,2,0.5156,0.0224,0.2207,0.0162,0.1585,0.0138,0.3531,0.0140,0.2255,0.0164,0.4117,0.0022,0.6973,0.0156,35
ensemble_uncertainty_mpc,delayed_observation_shift,3,0.5476,0.0178,0.2320,0.0188,0.1643,0.0146,0.3670,0.0197,0.2238,0.0153,0.4120,0.0025,0.7092,0.0175,35
ensemble_uncertainty_mpc,delayed_observation_shift,4,0.5248,0.0148,0.2201,0.0167,0.1527,0.0133,0.3585,0.0174,0.2269,0.0131,0.4122,0.0024,0.6920,0.0164,35
ensemble_uncertainty_mpc,delayed_observation_shift,5,0.5340,0.0171,0.2313,0.0138,0.1861,0.0123,0.3673,0.0184,0.2259,0.0138,0.4128,0.0025,0.7304,0.0127,35
ensemble_uncertainty_mpc,delayed_observation_shift,6,0.5272,0.0172,0.2350,0.0161,0.1646,0.0136,0.3949,0.0173,0.2374,0.0152,0.4122,0.0022,0.7115,0.0191,35
ensemble_uncertainty_mpc,embodiment_shift,0,0.5156,0.0198,0.2143,0.0181,0.1534,0.0139,0.3895,0.0172,0.1976,0.0141,0.4005,0.0019,0.6777,0.0163,35
ensemble_uncertainty_mpc,embodiment_shift,1,0.5218,0.0182,0.2190,0.0183,0.1616,0.0156,0.3806,0.0172,0.1983,0.0167,0.4014,0.0029,0.6890,0.0213,35
ensemble_uncertainty_mpc,embodiment_shift,2,0.5269,0.0165,0.2136,0.0145,0.1616,0.0152,0.3867,0.0174,0.2095,0.0190,0.3993,0.0024,0.6839,0.0186,35
ensemble_uncertainty_mpc,embodiment_shift,3,0.5204,0.0184,0.2041,0.0156,0.1531,0.0155,0.3697,0.0188,0.2204,0.0178,0.4014,0.0026,0.6727,0.0190,35
ensemble_uncertainty_mpc,embodiment_shift,4,0.5252,0.0181,0.2136,0.0162,0.1449,0.0118,0.3874,0.0147,0.1990,0.0173,0.4022,0.0022,0.6710,0.0154,35
ensemble_uncertainty_mpc,embodiment_shift,5,0.5180,0.0152,0.2105,0.0139,0.1595,0.0156,0.3949,0.0208,0.2116,0.0158,0.4002,0.0026,0.6811,0.0195,35
ensemble_uncertainty_mpc,embodiment_shift,6,0.5238,0.0189,0.2082,0.0149,0.1622,0.0140,0.3789,0.0167,0.2139,0.0151,0.4020,0.0021,0.6842,0.0155,35
ensemble_uncertainty_mpc,hidden_force_shift,0,0.5330,0.0155,0.2330,0.0143,0.1673,0.0136,0.3677,0.0159,0.2367,0.0166,0.4363,0.0024,0.7370,0.0169,35
ensemble_uncertainty_mpc,hidden_force_shift,1,0.5279,0.0153,0.2449,0.0179,0.1762,0.0125,0.3418,0.0171,0.2262,0.0113,0.4327,0.0024,0.7484,0.0156,35
ensemble_uncertainty_mpc,hidden_force_shift,2,0.5241,0.0208,0.2384,0.0171,0.1660,0.0145,0.3677,0.0154,0.2415,0.0149,0.4361,0.0023,0.7386,0.0183,35
ensemble_uncertainty_mpc,hidden_force_shift,3,0.5269,0.0151,0.2367,0.0157,0.1721,0.0132,0.3653,0.0176,0.2310,0.0139,0.4334,0.0021,0.7407,0.0170,35
ensemble_uncertainty_mpc,hidden_force_shift,4,0.5364,0.0192,0.2544,0.0186,0.1718,0.0131,0.3670,0.0178,0.2371,0.0148,0.4318,0.0019,0.7485,0.0173,35
ensemble_uncertainty_mpc,hidden_force_shift,5,0.5350,0.0179,0.2347,0.0150,0.1701,0.0111,0.3442,0.0173,0.2442,0.0164,0.4343,0.0024,0.7385,0.0122,35
ensemble_uncertainty_mpc,hidden_force_shift,6,0.5228,0.0206,0.2405,0.0155,0.1776,0.0156,0.3561,0.0190,0.2299,0.0139,0.4339,0.0026,0.7484,0.0198,35
ensemble_uncertainty_mpc,nominal,0,0.6276,0.0158,0.1602,0.0097,0.1088,0.0123,0.4235,0.0164,0.1939,0.0146,0.2996,0.0023,0.5047,0.0129,35
ensemble_uncertainty_mpc,nominal,1,0.6214,0.0183,0.1585,0.0118,0.1112,0.0112,0.4228,0.0170,0.1905,0.0144,0.3000,0.0020,0.5064,0.0100,35
ensemble_uncertainty_mpc,nominal,2,0.6122,0.0144,0.1561,0.0121,0.1269,0.0117,0.4027,0.0161,0.1820,0.0130,0.3002,0.0023,0.5202,0.0128,35
ensemble_uncertainty_mpc,nominal,3,0.6088,0.0194,0.1599,0.0135,0.1153,0.0104,0.4156,0.0160,0.1976,0.0137,0.3001,0.0021,0.5112,0.0126,35
ensemble_uncertainty_mpc,nominal,4,0.6184,0.0191,0.1592,0.0151,0.1224,0.0107,0.4228,0.0199,0.1932,0.0117,0.3005,0.0022,0.5180,0.0129,35
ensemble_uncertainty_mpc,nominal,5,0.6194,0.0164,0.1578,0.0136,0.1180,0.0097,0.4061,0.0187,0.1765,0.0129,0.3011,0.0022,0.5137,0.0132,35
ensemble_uncertainty_mpc,nominal,6,0.6224,0.0205,0.1626,0.0119,0.1126,0.0139,0.4211,0.0161,0.1684,0.0137,0.3009,0.0022,0.5109,0.0156,35
force_history_behavior_cloning,combined_stress,0,0.3969,0.0192,0.3197,0.0196,0.2282,0.0133,0.3575,0.0187,0.1864,0.0135,0.4799,0.0020,0.8790,0.0159,35
force_history_behavior_cloning,combined_stress,1,0.3976,0.0167,0.3153,0.0159,0.2214,0.0155,0.3395,0.0177,0.1966,0.0173,0.4806,0.0022,0.8708,0.0172,35
force_history_behavior_cloning,combined_stress,2,0.4034,0.0208,0.3296,0.0208,0.2180,0.0196,0.3527,0.0168,0.1935,0.0160,0.4806,0.0022,0.8754,0.0244,35
force_history_behavior_cloning,combined_stress,3,0.4102,0.0198,0.3187,0.0193,0.2194,0.0138,0.3639,0.0182,0.2017,0.0132,0.4809,0.0022,0.8710,0.0184,35
force_history_behavior_cloning,combined_stress,4,0.4027,0.0215,0.3235,0.0194,0.2119,0.0146,0.3480,0.0194,0.1976,0.0161,0.4782,0.0020,0.8638,0.0196,35
force_history_behavior_cloning,combined_stress,5,0.4122,0.0213,0.3303,0.0174,0.2235,0.0175,0.3425,0.0116,0.2007,0.0177,0.4792,0.0019,0.8795,0.0205,35
force_history_behavior_cloning,combined_stress,6,0.4150,0.0173,0.3214,0.0163,0.2279,0.0143,0.3415,0.0169,0.1997,0.0152,0.4801,0.0023,0.8798,0.0159,35
force_history_behavior_cloning,delayed_observation_shift,0,0.4782,0.0185,0.2908,0.0128,0.1942,0.0144,0.3735,0.0155,0.1582,0.0150,0.4014,0.0028,0.7522,0.0142,35
force_history_behavior_cloning,delayed_observation_shift,1,0.4854,0.0209,0.2929,0.0176,0.2031,0.0150,0.3694,0.0171,0.1806,0.0141,0.4000,0.0025,0.7604,0.0166,35
force_history_behavior_cloning,delayed_observation_shift,2,0.4694,0.0187,0.2765,0.0155,0.1823,0.0146,0.3673,0.0224,0.1735,0.0134,0.4028,0.0021,0.7345,0.0171,35
force_history_behavior_cloning,delayed_observation_shift,3,0.4735,0.0176,0.2898,0.0167,0.2044,0.0147,0.3697,0.0152,0.1765,0.0136,0.4014,0.0022,0.7614,0.0151,35
force_history_behavior_cloning,delayed_observation_shift,4,0.4976,0.0182,0.2793,0.0148,0.1963,0.0156,0.3759,0.0171,0.1789,0.0134,0.4019,0.0023,0.7484,0.0174,35
force_history_behavior_cloning,delayed_observation_shift,5,0.4711,0.0175,0.3020,0.0165,0.1871,0.0108,0.3847,0.0174,0.1755,0.0155,0.4033,0.0025,0.7535,0.0149,35
force_history_behavior_cloning,delayed_observation_shift,6,0.4867,0.0196,0.2864,0.0157,0.1810,0.0137,0.3673,0.0157,0.1769,0.0148,0.4019,0.0020,0.7377,0.0166,35
force_history_behavior_cloning,embodiment_shift,0,0.4789,0.0163,0.2670,0.0176,0.1844,0.0151,0.4082,0.0200,0.1626,0.0131,0.3911,0.0024,0.7195,0.0164,35
force_history_behavior_cloning,embodiment_shift,1,0.4673,0.0188,0.2609,0.0161,0.1772,0.0134,0.3857,0.0165,0.1551,0.0168,0.3896,0.0025,0.7078,0.0160,35
force_history_behavior_cloning,embodiment_shift,2,0.4765,0.0175,0.2500,0.0146,0.1769,0.0157,0.3956,0.0192,0.1639,0.0116,0.3912,0.0021,0.7032,0.0175,35
force_history_behavior_cloning,embodiment_shift,3,0.4772,0.0181,0.2656,0.0185,0.1677,0.0122,0.4003,0.0159,0.1537,0.0181,0.3904,0.0025,0.7022,0.0185,35
force_history_behavior_cloning,embodiment_shift,4,0.4776,0.0165,0.2782,0.0140,0.1803,0.0136,0.3969,0.0174,0.1599,0.0145,0.3903,0.0023,0.7210,0.0150,35
force_history_behavior_cloning,embodiment_shift,5,0.4820,0.0175,0.2772,0.0162,0.2034,0.0126,0.3915,0.0186,0.1639,0.0127,0.3895,0.0024,0.7416,0.0160,35
force_history_behavior_cloning,embodiment_shift,6,0.4599,0.0183,0.2653,0.0159,0.1755,0.0137,0.3871,0.0181,0.1619,0.0151,0.3920,0.0024,0.7111,0.0161,35
force_history_behavior_cloning,hidden_force_shift,0,0.4772,0.0205,0.2895,0.0146,0.1946,0.0133,0.3854,0.0194,0.1912,0.0124,0.4241,0.0019,0.7745,0.0161,35
force_history_behavior_cloning,hidden_force_shift,1,0.4850,0.0199,0.2810,0.0133,0.1932,0.0149,0.3660,0.0151,0.1765,0.0116,0.4244,0.0021,0.7689,0.0158,35
force_history_behavior_cloning,hidden_force_shift,2,0.4871,0.0222,0.2915,0.0174,0.2112,0.0174,0.3602,0.0170,0.1925,0.0159,0.4242,0.0023,0.7916,0.0213,35
force_history_behavior_cloning,hidden_force_shift,3,0.4776,0.0204,0.2986,0.0162,0.2068,0.0162,0.3827,0.0160,0.1752,0.0143,0.4250,0.0024,0.7921,0.0161,35
force_history_behavior_cloning,hidden_force_shift,4,0.4952,0.0191,0.2959,0.0151,0.1850,0.0136,0.3745,0.0177,0.1952,0.0142,0.4251,0.0024,0.7700,0.0142,35
force_history_behavior_cloning,hidden_force_shift,5,0.4925,0.0168,0.2956,0.0177,0.1918,0.0132,0.3670,0.0164,0.1810,0.0132,0.4243,0.0025,0.7755,0.0170,35
force_history_behavior_cloning,hidden_force_shift,6,0.4997,0.0206,0.2816,0.0185,0.1973,0.0165,0.3769,0.0188,0.1820,0.0133,0.4239,0.0023,0.7727,0.0204,35
force_history_behavior_cloning,nominal,0,0.5793,0.0150,0.2231,0.0143,0.1510,0.0134,0.4173,0.0166,0.1497,0.0133,0.2899,0.0020,0.5625,0.0151,35
force_history_behavior_cloning,nominal,1,0.5714,0.0165,0.2238,0.0152,0.1510,0.0145,0.4075,0.0194,0.1357,0.0127,0.2905,0.0020,0.5634,0.0161,35
force_history_behavior_cloning,nominal,2,0.5878,0.0162,0.2085,0.0164,0.1476,0.0132,0.4095,0.0185,0.1391,0.0157,0.2910,0.0025,0.5523,0.0172,35
force_history_behavior_cloning,nominal,3,0.5769,0.0211,0.2085,0.0181,0.1429,0.0134,0.4241,0.0180,0.1211,0.0135,0.2896,0.0020,0.5464,0.0162,35
force_history_behavior_cloning,nominal,4,0.5779,0.0194,0.2116,0.0138,0.1463,0.0127,0.4153,0.0154,0.1357,0.0145,0.2913,0.0019,0.5530,0.0146,35
force_history_behavior_cloning,nominal,5,0.5711,0.0178,0.2061,0.0172,0.1398,0.0153,0.4190,0.0183,0.1422,0.0118,0.2907,0.0022,0.5433,0.0174,35
force_history_behavior_cloning,nominal,6,0.5854,0.0201,0.2146,0.0132,0.1520,0.0151,0.4248,0.0136,0.1497,0.0127,0.2890,0.0019,0.5579,0.0166,35
observation_only_transformer,combined_stress,0,0.3231,0.0200,0.3340,0.0168,0.2514,0.0185,0.2469,0.0160,0.2262,0.0170,0.4897,0.0026,0.9170,0.0221,35
observation_only_transformer,combined_stress,1,0.3044,0.0151,0.3262,0.0166,0.2323,0.0151,0.2605,0.0166,0.2313,0.0133,0.4872,0.0023,0.8921,0.0173,35
observation_only_transformer,combined_stress,2,0.3173,0.0156,0.3500,0.0134,0.2337,0.0174,0.2561,0.0148,0.2442,0.0160,0.4880,0.0024,0.9073,0.0179,35
observation_only_transformer,combined_stress,3,0.3065,0.0104,0.3286,0.0180,0.2296,0.0159,0.2534,0.0211,0.2354,0.0165,0.4871,0.0023,0.8907,0.0163,35
observation_only_transformer,combined_stress,4,0.3221,0.0176,0.3207,0.0151,0.2238,0.0160,0.2531,0.0152,0.2374,0.0169,0.4897,0.0026,0.8835,0.0193,35
observation_only_transformer,combined_stress,5,0.3153,0.0188,0.3350,0.0163,0.2500,0.0167,0.2568,0.0155,0.2248,0.0166,0.4874,0.0022,0.9140,0.0171,35
observation_only_transformer,combined_stress,6,0.3269,0.0194,0.3527,0.0185,0.2313,0.0149,0.2531,0.0149,0.2391,0.0115,0.4876,0.0025,0.9061,0.0180,35
observation_only_transformer,delayed_observation_shift,0,0.4020,0.0208,0.2986,0.0156,0.2075,0.0114,0.2752,0.0163,0.1908,0.0172,0.4107,0.0023,0.7769,0.0148,35
observation_only_transformer,delayed_observation_shift,1,0.4058,0.0189,0.2898,0.0166,0.2020,0.0142,0.2663,0.0158,0.2082,0.0149,0.4098,0.0022,0.7659,0.0175,35
observation_only_transformer,delayed_observation_shift,2,0.4310,0.0185,0.2925,0.0134,0.2037,0.0132,0.2833,0.0161,0.2058,0.0162,0.4116,0.0025,0.7708,0.0165,35
observation_only_transformer,delayed_observation_shift,3,0.4095,0.0141,0.2983,0.0128,0.1946,0.0155,0.2823,0.0200,0.1976,0.0114,0.4110,0.0021,0.7647,0.0182,35
observation_only_transformer,delayed_observation_shift,4,0.4095,0.0177,0.2976,0.0187,0.2092,0.0153,0.2803,0.0178,0.2112,0.0148,0.4094,0.0022,0.7766,0.0195,35
observation_only_transformer,delayed_observation_shift,5,0.4119,0.0169,0.3044,0.0128,0.2201,0.0173,0.2755,0.0186,0.2058,0.0143,0.4102,0.0029,0.7915,0.0183,35
observation_only_transformer,delayed_observation_shift,6,0.4228,0.0201,0.2946,0.0164,0.1918,0.0153,0.2707,0.0153,0.2245,0.0175,0.4101,0.0021,0.7591,0.0181,35
observation_only_transformer,embodiment_shift,0,0.4112,0.0176,0.2741,0.0164,0.1956,0.0126,0.2918,0.0161,0.1827,0.0132,0.3985,0.0018,0.7398,0.0133,35
observation_only_transformer,embodiment_shift,1,0.4187,0.0206,0.2820,0.0145,0.1963,0.0129,0.3044,0.0165,0.1779,0.0125,0.4006,0.0026,0.7470,0.0164,35
observation_only_transformer,embodiment_shift,2,0.4129,0.0223,0.2823,0.0168,0.1966,0.0156,0.2891,0.0141,0.1833,0.0174,0.4000,0.0019,0.7468,0.0193,35
observation_only_transformer,embodiment_shift,3,0.4058,0.0197,0.2918,0.0155,0.1922,0.0158,0.2935,0.0197,0.1854,0.0133,0.3996,0.0026,0.7475,0.0192,35
observation_only_transformer,embodiment_shift,4,0.4037,0.0163,0.2847,0.0179,0.1956,0.0154,0.2850,0.0160,0.1878,0.0136,0.3959,0.0021,0.7431,0.0180,35
observation_only_transformer,embodiment_shift,5,0.4201,0.0171,0.2864,0.0177,0.1840,0.0144,0.3058,0.0145,0.1748,0.0154,0.3999,0.0022,0.7370,0.0141,35
observation_only_transformer,embodiment_shift,6,0.4238,0.0191,0.2915,0.0176,0.1806,0.0152,0.2806,0.0185,0.1769,0.0121,0.4003,0.0019,0.7370,0.0188,35
observation_only_transformer,hidden_force_shift,0,0.4007,0.0197,0.3031,0.0197,0.2099,0.0108,0.2582,0.0137,0.2116,0.0131,0.4325,0.0024,0.8033,0.0165,35
observation_only_transformer,hidden_force_shift,1,0.4252,0.0161,0.3241,0.0147,0.2075,0.0143,0.2844,0.0143,0.2167,0.0112,0.4330,0.0021,0.8132,0.0154,35
observation_only_transformer,hidden_force_shift,2,0.4099,0.0187,0.3020,0.0161,0.2000,0.0141,0.2629,0.0178,0.2048,0.0155,0.4336,0.0023,0.7945,0.0145,35
observation_only_transformer,hidden_force_shift,3,0.4282,0.0213,0.3054,0.0149,0.2027,0.0158,0.2656,0.0176,0.2150,0.0119,0.4331,0.0022,0.7985,0.0164,35
observation_only_transformer,hidden_force_shift,4,0.4163,0.0171,0.3041,0.0162,0.1935,0.0146,0.2653,0.0157,0.2122,0.0159,0.4320,0.0020,0.7879,0.0168,35
observation_only_transformer,hidden_force_shift,5,0.3983,0.0181,0.3078,0.0185,0.1932,0.0130,0.2823,0.0174,0.2071,0.0145,0.4322,0.0022,0.7899,0.0160,35
observation_only_transformer,hidden_force_shift,6,0.4259,0.0189,0.2976,0.0145,0.2075,0.0169,0.2718,0.0172,0.2207,0.0128,0.4328,0.0023,0.7984,0.0170,35
observation_only_transformer,nominal,0,0.5228,0.0235,0.2241,0.0156,0.1466,0.0135,0.3048,0.0168,0.1639,0.0124,0.2956,0.0025,0.5629,0.0145,35
observation_only_transformer,nominal,1,0.5248,0.0146,0.2207,0.0162,0.1480,0.0104,0.3255,0.0173,0.1724,0.0155,0.2979,0.0021,0.5647,0.0117,35
observation_only_transformer,nominal,2,0.5432,0.0224,0.2116,0.0134,0.1568,0.0141,0.3116,0.0174,0.1459,0.0155,0.3005,0.0026,0.5707,0.0157,35
observation_only_transformer,nominal,3,0.5333,0.0194,0.2122,0.0132,0.1483,0.0121,0.3075,0.0222,0.1548,0.0127,0.2993,0.0022,0.5617,0.0141,35
observation_only_transformer,nominal,4,0.5340,0.0186,0.2187,0.0142,0.1680,0.0138,0.3129,0.0125,0.1595,0.0127,0.2979,0.0021,0.5826,0.0128,35
observation_only_transformer,nominal,5,0.5347,0.0174,0.2167,0.0147,0.1452,0.0128,0.3371,0.0188,0.1609,0.0120,0.2980,0.0022,0.5599,0.0142,35
observation_only_transformer,nominal,6,0.5361,0.0186,0.2354,0.0147,0.1517,0.0147,0.3126,0.0147,0.1551,0.0159,0.2979,0.0022,0.5763,0.0160,35
online_residual_system_id,combined_stress,0,0.4993,0.0232,0.2762,0.0143,0.1765,0.0136,0.4279,0.0163,0.2299,0.0148,0.4867,0.0024,0.8287,0.0139,35
online_residual_system_id,combined_stress,1,0.5116,0.0214,0.2694,0.0205,0.1888,0.0138,0.4517,0.0174,0.2293,0.0164,0.4860,0.0020,0.8359,0.0184,35
online_residual_system_id,combined_stress,2,0.5160,0.0176,0.2653,0.0138,0.1861,0.0142,0.4388,0.0206,0.2279,0.0159,0.4853,0.0024,0.8304,0.0170,35
online_residual_system_id,combined_stress,3,0.4908,0.0218,0.2673,0.0153,0.1881,0.0120,0.4374,0.0156,0.2248,0.0155,0.4843,0.0026,0.8324,0.0140,35
online_residual_system_id,combined_stress,4,0.5177,0.0210,0.2786,0.0163,0.1755,0.0121,0.4534,0.0178,0.2282,0.0141,0.4867,0.0024,0.8291,0.0169,35
online_residual_system_id,combined_stress,5,0.4956,0.0145,0.2588,0.0205,0.1918,0.0112,0.4490,0.0208,0.2214,0.0143,0.4876,0.0025,0.8346,0.0154,35
online_residual_system_id,combined_stress,6,0.4976,0.0199,0.2793,0.0157,0.1932,0.0149,0.4456,0.0207,0.2211,0.0131,0.4845,0.0025,0.8440,0.0189,35
online_residual_system_id,delayed_observation_shift,0,0.5548,0.0195,0.2184,0.0175,0.1718,0.0122,0.4667,0.0165,0.2078,0.0106,0.4083,0.0019,0.7140,0.0159,35
