method,split,seed,mean_success,ci95_success,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_latent_accuracy,ci95_latent_accuracy,mean_false_memory_alarm,ci95_false_memory_alarm,mean_energy,ci95_energy,mean_cost,ci95_cost,groups
conformal_risk_filter,combined_stress,0,0.4425,0.0168,0.2357,0.0131,0.1738,0.0145,0.3221,0.0187,0.2599,0.0170,0.5010,0.0020,0.8150,0.0175,35
conformal_risk_filter,combined_stress,1,0.4449,0.0176,0.2228,0.0161,0.1741,0.0134,0.3177,0.0187,0.2765,0.0171,0.4991,0.0019,0.8063,0.0185,35
conformal_risk_filter,combined_stress,2,0.4173,0.0178,0.2605,0.0156,0.1799,0.0125,0.3099,0.0173,0.2707,0.0159,0.5014,0.0022,0.8348,0.0145,35
conformal_risk_filter,combined_stress,3,0.4503,0.0170,0.2466,0.0176,0.1854,0.0154,0.3190,0.0167,0.2759,0.0150,0.5011,0.0025,0.8321,0.0184,35
conformal_risk_filter,combined_stress,4,0.4289,0.0184,0.2531,0.0153,0.1765,0.0135,0.3082,0.0163,0.2701,0.0151,0.5000,0.0021,0.8260,0.0168,35
conformal_risk_filter,combined_stress,5,0.4194,0.0225,0.2592,0.0164,0.1871,0.0162,0.3262,0.0175,0.2861,0.0146,0.5013,0.0018,0.8408,0.0192,35
conformal_risk_filter,combined_stress,6,0.4398,0.0160,0.2439,0.0169,0.1813,0.0157,0.3412,0.0177,0.2782,0.0160,0.4986,0.0020,0.8242,0.0195,35
conformal_risk_filter,delayed_observation_shift,0,0.4956,0.0214,0.1939,0.0120,0.1422,0.0142,0.3554,0.0148,0.2490,0.0168,0.4220,0.0028,0.6829,0.0155,35
conformal_risk_filter,delayed_observation_shift,1,0.5133,0.0178,0.1912,0.0167,0.1490,0.0121,0.3551,0.0150,0.2605,0.0168,0.4227,0.0019,0.6886,0.0144,35
conformal_risk_filter,delayed_observation_shift,2,0.4980,0.0214,0.2027,0.0174,0.1588,0.0143,0.3599,0.0178,0.2463,0.0166,0.4211,0.0018,0.7027,0.0170,35
conformal_risk_filter,delayed_observation_shift,3,0.4929,0.0183,0.2262,0.0144,0.1520,0.0133,0.3558,0.0160,0.2605,0.0189,0.4231,0.0027,0.7111,0.0167,35
conformal_risk_filter,delayed_observation_shift,4,0.5116,0.0203,0.1993,0.0125,0.1622,0.0147,0.3551,0.0194,0.2503,0.0175,0.4199,0.0017,0.7029,0.0165,35
conformal_risk_filter,delayed_observation_shift,5,0.5099,0.0166,0.2088,0.0125,0.1500,0.0104,0.3432,0.0169,0.2469,0.0179,0.4216,0.0024,0.6982,0.0131,35
conformal_risk_filter,delayed_observation_shift,6,0.5014,0.0176,0.1888,0.0147,0.1524,0.0148,0.3415,0.0150,0.2422,0.0170,0.4225,0.0020,0.6903,0.0148,35
conformal_risk_filter,embodiment_shift,0,0.5037,0.0225,0.1864,0.0154,0.1425,0.0139,0.3595,0.0146,0.2272,0.0142,0.4092,0.0025,0.6663,0.0162,35
conformal_risk_filter,embodiment_shift,1,0.4990,0.0158,0.1793,0.0131,0.1473,0.0160,0.3789,0.0130,0.2367,0.0177,0.4088,0.0025,0.6665,0.0172,35
conformal_risk_filter,embodiment_shift,2,0.5133,0.0202,0.1881,0.0125,0.1388,0.0138,0.3561,0.0216,0.2231,0.0169,0.4113,0.0021,0.6658,0.0167,35
conformal_risk_filter,embodiment_shift,3,0.5197,0.0192,0.1986,0.0128,0.1469,0.0122,0.3745,0.0164,0.2306,0.0170,0.4113,0.0023,0.6794,0.0153,35
conformal_risk_filter,embodiment_shift,4,0.5051,0.0194,0.1939,0.0135,0.1456,0.0137,0.3759,0.0185,0.2204,0.0122,0.4094,0.0020,0.6735,0.0140,35
conformal_risk_filter,embodiment_shift,5,0.5037,0.0184,0.1813,0.0124,0.1439,0.0105,0.3619,0.0174,0.2398,0.0166,0.4100,0.0021,0.6655,0.0143,35
conformal_risk_filter,embodiment_shift,6,0.5146,0.0180,0.1905,0.0138,0.1476,0.0185,0.3660,0.0174,0.2139,0.0197,0.4095,0.0021,0.6737,0.0217,35
conformal_risk_filter,hidden_force_shift,0,0.5201,0.0181,0.2129,0.0129,0.1616,0.0134,0.3493,0.0207,0.2500,0.0166,0.4424,0.0023,0.7322,0.0160,35
conformal_risk_filter,hidden_force_shift,1,0.5116,0.0216,0.2068,0.0172,0.1588,0.0159,0.3340,0.0222,0.2330,0.0155,0.4463,0.0019,0.7301,0.0197,35
conformal_risk_filter,hidden_force_shift,2,0.5265,0.0214,0.2082,0.0152,0.1622,0.0148,0.3299,0.0174,0.2571,0.0153,0.4439,0.0026,0.7317,0.0175,35
conformal_risk_filter,hidden_force_shift,3,0.5197,0.0147,0.2150,0.0165,0.1588,0.0121,0.3412,0.0208,0.2405,0.0203,0.4460,0.0022,0.7344,0.0145,35
conformal_risk_filter,hidden_force_shift,4,0.4939,0.0149,0.2061,0.0162,0.1585,0.0116,0.3391,0.0171,0.2650,0.0112,0.4434,0.0022,0.7266,0.0155,35
conformal_risk_filter,hidden_force_shift,5,0.5136,0.0166,0.1956,0.0130,0.1585,0.0140,0.3503,0.0138,0.2680,0.0164,0.4432,0.0024,0.7206,0.0149,35
conformal_risk_filter,hidden_force_shift,6,0.5167,0.0168,0.2126,0.0162,0.1684,0.0142,0.3412,0.0159,0.2398,0.0146,0.4430,0.0027,0.7391,0.0186,35
conformal_risk_filter,nominal,0,0.6129,0.0174,0.1378,0.0117,0.1088,0.0118,0.3837,0.0148,0.2071,0.0116,0.3075,0.0019,0.5058,0.0132,35
conformal_risk_filter,nominal,1,0.5993,0.0196,0.1381,0.0143,0.1184,0.0119,0.4099,0.0166,0.2109,0.0128,0.3082,0.0021,0.5158,0.0144,35
conformal_risk_filter,nominal,2,0.5867,0.0176,0.1354,0.0117,0.1044,0.0125,0.3922,0.0198,0.2020,0.0142,0.3103,0.0024,0.5031,0.0136,35
