method,seed,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
conformal_risk_filter,8,2304,0.339844,0.234375,0.122396,0.302951,0.042969,0.319878,0.014423,0.372717,0.487296,-0.157907,0.097913,0.000000
conformal_risk_filter,9,2304,0.318576,0.238715,0.118490,0.312934,0.042101,0.347222,0.014095,0.372717,0.487734,-0.154952,0.097913,0.000000
contact_mode_hmm_mpc,0,2304,0.480035,0.264757,0.147569,0.485243,0.056858,0.233073,0.026829,0.349538,0.344140,-0.068291,0.097313,0.000000
contact_mode_hmm_mpc,1,2304,0.490017,0.269531,0.157118,0.487413,0.048611,0.224392,0.026924,0.349538,0.344929,-0.074389,0.097313,0.000000
contact_mode_hmm_mpc,2,2304,0.486979,0.265625,0.160156,0.483073,0.055122,0.207899,0.026700,0.349538,0.344706,-0.069758,0.097313,0.000000
contact_mode_hmm_mpc,3,2304,0.483073,0.274306,0.158420,0.496528,0.054253,0.227865,0.026864,0.349538,0.344956,-0.071175,0.097313,0.000000
contact_mode_hmm_mpc,4,2304,0.489149,0.264757,0.134549,0.490017,0.046007,0.229167,0.026685,0.349538,0.343745,-0.070391,0.097313,0.000000
contact_mode_hmm_mpc,5,2304,0.472656,0.260851,0.148872,0.500000,0.051215,0.212674,0.026802,0.349538,0.344949,-0.071473,0.097313,0.000000
contact_mode_hmm_mpc,6,2304,0.481771,0.279514,0.159288,0.487413,0.043403,0.223090,0.026656,0.349538,0.344914,-0.072839,0.097313,0.000000
contact_mode_hmm_mpc,7,2304,0.491319,0.263021,0.144531,0.471354,0.060330,0.220920,0.026598,0.349538,0.344586,-0.069651,0.097313,0.000000
contact_mode_hmm_mpc,8,2304,0.464410,0.264323,0.151910,0.490017,0.057292,0.220920,0.026964,0.349538,0.345089,-0.072247,0.097313,0.000000
contact_mode_hmm_mpc,9,2304,0.472656,0.280816,0.154948,0.490451,0.049479,0.213976,0.026739,0.349538,0.344499,-0.069243,0.097313,0.000000
diffusion_policy_force_history,0,2304,0.330295,0.378906,0.251736,0.349826,0.078993,0.305990,0.031447,0.234398,0.489098,-0.464136,0.065512,0.000000
diffusion_policy_force_history,1,2304,0.345052,0.397135,0.260417,0.304253,0.067708,0.309028,0.031876,0.234398,0.488930,-0.466919,0.065512,0.000000
diffusion_policy_force_history,2,2304,0.345052,0.402778,0.251736,0.322049,0.070747,0.298611,0.031156,0.234398,0.489810,-0.464751,0.065512,0.000000
diffusion_policy_force_history,3,2304,0.321615,0.399740,0.258247,0.308160,0.073785,0.311198,0.031265,0.234398,0.488273,-0.464369,0.065512,0.000000
diffusion_policy_force_history,4,2304,0.333767,0.384115,0.263021,0.321615,0.074219,0.319444,0.031482,0.234398,0.488630,-0.465083,0.065512,0.000000
diffusion_policy_force_history,5,2304,0.337674,0.380208,0.250434,0.304688,0.067708,0.306858,0.031412,0.234398,0.488656,-0.464563,0.065512,0.000000
diffusion_policy_force_history,6,2304,0.346788,0.416667,0.258681,0.298177,0.067708,0.306858,0.031289,0.234398,0.488999,-0.466388,0.065512,0.000000
diffusion_policy_force_history,7,2304,0.352865,0.395399,0.236111,0.328559,0.070747,0.316840,0.030840,0.234398,0.488263,-0.463249,0.065512,0.000000
diffusion_policy_force_history,8,2304,0.327691,0.388889,0.268229,0.324219,0.072917,0.311632,0.031586,0.234398,0.489541,-0.467687,0.065512,0.000000
diffusion_policy_force_history,9,2304,0.348958,0.388021,0.265625,0.342014,0.067708,0.295573,0.031382,0.234398,0.486950,-0.462706,0.065512,0.000000
ensemble_uncertainty_mpc,0,2304,0.345486,0.312500,0.192708,0.357205,0.059896,0.321615,0.018380,0.287327,0.475607,-0.296411,0.085613,0.000000
ensemble_uncertainty_mpc,1,2304,0.354167,0.314670,0.199653,0.345920,0.053385,0.309462,0.018661,0.287327,0.475351,-0.296501,0.085613,0.000000
ensemble_uncertainty_mpc,2,2304,0.339844,0.295139,0.185764,0.343316,0.065104,0.325521,0.018554,0.287327,0.475491,-0.293851,0.085613,0.000000
ensemble_uncertainty_mpc,3,2304,0.338542,0.323351,0.197917,0.330729,0.056424,0.311198,0.018499,0.287327,0.475284,-0.297301,0.085613,0.000000
ensemble_uncertainty_mpc,4,2304,0.344618,0.319878,0.200955,0.349826,0.051215,0.304688,0.018612,0.287327,0.474876,-0.296113,0.085613,0.000000
ensemble_uncertainty_mpc,5,2304,0.346788,0.321615,0.189236,0.335938,0.055990,0.327257,0.018338,0.287327,0.474843,-0.294054,0.085613,0.000000
ensemble_uncertainty_mpc,6,2304,0.331163,0.316406,0.182726,0.355035,0.060330,0.305990,0.018673,0.287327,0.475452,-0.297444,0.085613,0.000000
ensemble_uncertainty_mpc,7,2304,0.350694,0.328559,0.180556,0.352865,0.039931,0.313802,0.018324,0.287327,0.475775,-0.295257,0.085613,0.000000
ensemble_uncertainty_mpc,8,2304,0.342014,0.315538,0.190104,0.355903,0.055122,0.309462,0.018975,0.287327,0.475155,-0.296361,0.085613,0.000000
ensemble_uncertainty_mpc,9,2304,0.348090,0.332031,0.199653,0.337240,0.063368,0.322049,0.018430,0.287327,0.475762,-0.296824,0.085613,0.000000
force_history_behavior_cloning,0,2304,0.237413,0.444444,0.285590,0.217014,0.076389,0.342882,0.031676,0.143408,0.582432,-0.654042,0.059213,0.000000
force_history_behavior_cloning,1,2304,0.220920,0.452257,0.296007,0.200521,0.071181,0.327257,0.031774,0.143408,0.582399,-0.656946,0.059213,0.000000
force_history_behavior_cloning,2,2304,0.253472,0.444444,0.274306,0.197917,0.080295,0.352431,0.031247,0.143408,0.582580,-0.654026,0.059213,0.000000
force_history_behavior_cloning,3,2304,0.250868,0.444444,0.302517,0.206163,0.072049,0.353299,0.031767,0.143408,0.582024,-0.656132,0.059213,0.000000
force_history_behavior_cloning,4,2304,0.244358,0.447483,0.292535,0.206163,0.083333,0.351997,0.031625,0.143408,0.582644,-0.656985,0.059213,0.000000
force_history_behavior_cloning,5,2304,0.243490,0.444878,0.300781,0.216146,0.075087,0.367188,0.031841,0.143408,0.582832,-0.654957,0.059213,0.000000
force_history_behavior_cloning,6,2304,0.250868,0.417535,0.292969,0.214844,0.078993,0.372396,0.032542,0.143408,0.582907,-0.657373,0.059213,0.000000
force_history_behavior_cloning,7,2304,0.245660,0.444010,0.297309,0.199219,0.078559,0.360243,0.030643,0.143408,0.582108,-0.652664,0.059213,0.000000
force_history_behavior_cloning,8,2304,0.242622,0.460938,0.299913,0.209635,0.073785,0.378472,0.032382,0.143408,0.582328,-0.655985,0.059213,0.000000
force_history_behavior_cloning,9,2304,0.233507,0.456163,0.297309,0.222222,0.072049,0.344618,0.031865,0.143408,0.583010,-0.656066,0.059213,0.000000
observation_only_transformer,0,2304,0.145833,0.450087,0.302517,0.131944,0.052083,0.369358,0.031548,0.109007,0.677219,-0.786010,0.053212,0.000000
observation_only_transformer,1,2304,0.148872,0.453993,0.321181,0.125000,0.055990,0.398003,0.031755,0.109007,0.677868,-0.791027,0.053212,0.000000
observation_only_transformer,2,2304,0.146701,0.458333,0.306858,0.140625,0.054688,0.389323,0.032176,0.109007,0.677083,-0.787456,0.053212,0.000000
observation_only_transformer,3,2304,0.146701,0.467448,0.305990,0.133681,0.064236,0.409288,0.031425,0.109007,0.677108,-0.787619,0.053212,0.000000
observation_only_transformer,4,2304,0.158854,0.463976,0.297743,0.138021,0.054253,0.379340,0.032159,0.109007,0.676600,-0.787108,0.053212,0.000000
observation_only_transformer,5,2304,0.148872,0.453125,0.305990,0.134983,0.059028,0.384115,0.031712,0.109007,0.677154,-0.785920,0.053212,0.000000
observation_only_transformer,6,2304,0.138021,0.465278,0.287326,0.133681,0.048177,0.400608,0.031879,0.109007,0.677859,-0.787612,0.053212,0.000000
observation_only_transformer,7,2304,0.131944,0.460503,0.315104,0.133681,0.056424,0.380642,0.031809,0.109007,0.677504,-0.785348,0.053212,0.000000
observation_only_transformer,8,2304,0.145399,0.460503,0.309028,0.137153,0.059462,0.390625,0.031953,0.109007,0.676788,-0.787719,0.053212,0.000000
observation_only_transformer,9,2304,0.146701,0.479167,0.313802,0.138889,0.065538,0.391927,0.031877,0.109007,0.677216,-0.787685,0.053212,0.000000
online_residual_system_id,0,2304,0.447483,0.290799,0.151476,0.423177,0.063802,0.236545,0.029409,0.353567,0.361716,-0.114212,0.090413,0.000000
online_residual_system_id,1,2304,0.460503,0.276910,0.162326,0.422309,0.065104,0.233507,0.029739,0.353567,0.361808,-0.118049,0.090413,0.000000
online_residual_system_id,2,2304,0.466146,0.291667,0.157986,0.423177,0.055556,0.216580,0.029456,0.353567,0.361875,-0.113579,0.090413,0.000000
online_residual_system_id,3,2304,0.453125,0.283854,0.156250,0.418403,0.061632,0.212674,0.029459,0.353567,0.362260,-0.117426,0.090413,0.000000
online_residual_system_id,4,2304,0.468750,0.281684,0.163628,0.440104,0.058594,0.212674,0.029418,0.353567,0.361656,-0.114573,0.090413,0.000000
online_residual_system_id,5,2304,0.502604,0.266493,0.169705,0.437500,0.052517,0.214410,0.029272,0.353567,0.361003,-0.112661,0.090413,0.000000
online_residual_system_id,6,2304,0.462240,0.275174,0.157552,0.434028,0.056424,0.204427,0.029550,0.353567,0.361505,-0.116859,0.090413,0.000000
online_residual_system_id,7,2304,0.459201,0.286458,0.149306,0.441406,0.055122,0.222222,0.029277,0.353567,0.361127,-0.112249,0.090413,0.000000
online_residual_system_id,8,2304,0.460503,0.273438,0.181424,0.440104,0.061632,0.213108,0.029680,0.353567,0.361416,-0.115775,0.090413,0.000000
online_residual_system_id,9,2304,0.466580,0.294271,0.170573,0.415799,0.063368,0.222222,0.029767,0.353567,0.360693,-0.113350,0.090413,0.000000
oracle_latent_force_planner,0,2304,0.867622,0.105469,0.036892,0.812934,0.021267,0.069878,0.014854,0.302673,0.002779,0.672547,0.123262,0.000000
oracle_latent_force_planner,1,2304,0.871528,0.114149,0.039931,0.799913,0.032986,0.069878,0.014885,0.302673,0.002868,0.669212,0.123262,0.000000
oracle_latent_force_planner,2,2304,0.857205,0.098090,0.032986,0.802083,0.018663,0.069010,0.014814,0.302673,0.003083,0.670377,0.123262,0.000000
oracle_latent_force_planner,3,2304,0.856337,0.100694,0.037760,0.815104,0.020399,0.070312,0.014889,0.302673,0.002659,0.670591,0.123262,0.000868
oracle_latent_force_planner,4,2304,0.871094,0.107205,0.031684,0.820747,0.024740,0.074653,0.014851,0.302673,0.002982,0.671517,0.123262,0.000000
oracle_latent_force_planner,5,2304,0.853299,0.104601,0.033854,0.810330,0.020833,0.068142,0.014763,0.302673,0.002974,0.672547,0.123262,0.000000
oracle_latent_force_planner,6,2304,0.857639,0.117622,0.030816,0.815104,0.018663,0.066406,0.014850,0.302673,0.002825,0.669867,0.123262,0.000000
oracle_latent_force_planner,7,2304,0.868056,0.102865,0.033854,0.809896,0.024740,0.071181,0.014851,0.302673,0.002962,0.673126,0.123262,0.000000
oracle_latent_force_planner,8,2304,0.870660,0.107205,0.035590,0.812500,0.024740,0.072049,0.014937,0.302673,0.003024,0.668328,0.123262,0.000000
oracle_latent_force_planner,9,2304,0.867188,0.109809,0.037326,0.805556,0.022569,0.072049,0.014813,0.302673,0.002987,0.670599,0.123262,0.000434
particle_filter_force_belief_mpc,0,2304,0.565538,0.240017,0.126736,0.575521,0.049479,0.174913,0.026148,0.428338,0.263179,0.085643,0.109313,0.000000
particle_filter_force_belief_mpc,1,2304,0.549479,0.234375,0.130208,0.576389,0.048611,0.198351,0.026276,0.428338,0.262976,0.081434,0.109313,0.000000
particle_filter_force_belief_mpc,2,2304,0.553385,0.226562,0.127170,0.587674,0.054688,0.170573,0.026032,0.428338,0.262778,0.086196,0.109313,0.000000
particle_filter_force_belief_mpc,3,2304,0.570747,0.222656,0.118924,0.578993,0.051649,0.196181,0.026349,0.428338,0.263074,0.083774,0.109313,0.000000
particle_filter_force_belief_mpc,4,2304,0.547309,0.232639,0.126736,0.590278,0.050347,0.182292,0.026268,0.428338,0.263115,0.082812,0.109313,0.000000
particle_filter_force_belief_mpc,5,2304,0.546441,0.236111,0.135851,0.589410,0.050347,0.180990,0.026173,0.428338,0.263729,0.085440,0.109313,0.000000
particle_filter_force_belief_mpc,6,2304,0.564670,0.236545,0.119358,0.576823,0.049479,0.171007,0.026384,0.428338,0.263618,0.082972,0.109313,0.000000
particle_filter_force_belief_mpc,7,2304,0.565972,0.230035,0.132378,0.580729,0.053385,0.187500,0.026108,0.428338,0.262498,0.085093,0.109313,0.000000
particle_filter_force_belief_mpc,8,2304,0.545139,0.239583,0.112847,0.572049,0.045573,0.179688,0.026280,0.428338,0.262952,0.081942,0.109313,0.000000
particle_filter_force_belief_mpc,9,2304,0.556424,0.226128,0.129774,0.562500,0.056424,0.187500,0.026035,0.428338,0.263590,0.085274,0.109313,0.000000
proposed_force_memory_transformer_v4,0,2304,0.597656,0.259115,0.140625,0.609375,0.058594,0.177083,0.034829,0.349928,0.226034,0.065663,0.127613,0.000000
proposed_force_memory_transformer_v4,1,2304,0.594184,0.264757,0.140625,0.602431,0.049479,0.151476,0.034966,0.349928,0.226008,0.063495,0.127613,0.000000
proposed_force_memory_transformer_v4,2,2304,0.605469,0.281250,0.140625,0.591146,0.051649,0.173177,0.034891,0.349928,0.226005,0.067183,0.127613,0.000434
proposed_force_memory_transformer_v4,3,2304,0.602431,0.258247,0.154948,0.598090,0.050347,0.167969,0.035058,0.349928,0.225463,0.066188,0.127613,0.000000
proposed_force_memory_transformer_v4,4,2304,0.617188,0.266493,0.140191,0.589844,0.049045,0.166233,0.034804,0.349928,0.226190,0.064352,0.127613,0.000000
proposed_force_memory_transformer_v4,5,2304,0.593316,0.244358,0.157986,0.608941,0.055990,0.167101,0.034803,0.349928,0.226027,0.066972,0.127613,0.000000
proposed_force_memory_transformer_v4,6,2304,0.612847,0.253906,0.149740,0.595486,0.049045,0.171875,0.035072,0.349928,0.225864,0.064011,0.127613,0.000000
proposed_force_memory_transformer_v4,7,2304,0.595920,0.251736,0.158420,0.601128,0.050347,0.150174,0.034742,0.349928,0.226714,0.066758,0.127613,0.000000
proposed_force_memory_transformer_v4,8,2304,0.602431,0.276910,0.165799,0.597656,0.050781,0.165365,0.034962,0.349928,0.226395,0.064314,0.127613,0.000000
proposed_force_memory_transformer_v4,9,2304,0.591146,0.258681,0.143663,0.579427,0.046007,0.159288,0.034913,0.349928,0.226219,0.066478,0.127613,0.000000
recurrent_contact_policy,0,2304,0.320747,0.418403,0.280816,0.272135,0.082465,0.303385,0.034935,0.178747,0.510182,-0.526234,0.064012,0.000000
recurrent_contact_policy,1,2304,0.314236,0.409288,0.263455,0.281684,0.075955,0.340278,0.035215,0.178747,0.510335,-0.530742,0.064012,0.000000
recurrent_contact_policy,2,2304,0.307726,0.425347,0.253906,0.266927,0.069010,0.334201,0.034925,0.178747,0.511197,-0.526549,0.064012,0.000000
recurrent_contact_policy,3,2304,0.293403,0.430556,0.273872,0.273872,0.075955,0.323785,0.034758,0.178747,0.510699,-0.527678,0.064012,0.000000
recurrent_contact_policy,4,2304,0.311632,0.407986,0.274740,0.269965,0.079427,0.326389,0.035306,0.178747,0.510610,-0.528923,0.064012,0.000000
recurrent_contact_policy,5,2304,0.317274,0.426649,0.274306,0.280816,0.076389,0.322049,0.034963,0.178747,0.510112,-0.526139,0.064012,0.000000
recurrent_contact_policy,6,2304,0.302517,0.411458,0.296441,0.276910,0.078993,0.327257,0.034868,0.178747,0.510530,-0.527549,0.064012,0.000000
recurrent_contact_policy,7,2304,0.315538,0.421441,0.272569,0.279080,0.078993,0.326389,0.034774,0.178747,0.509872,-0.526332,0.064012,0.000000
recurrent_contact_policy,8,2304,0.307292,0.419705,0.281250,0.269097,0.082031,0.304253,0.035574,0.178747,0.510426,-0.528732,0.064012,0.000000
recurrent_contact_policy,9,2304,0.334201,0.421875,0.283854,0.259115,0.083767,0.329427,0.035422,0.178747,0.510274,-0.526201,0.064012,0.000000
risk_calibrated_force_memory_transformer_v5,0,2304,0.739149,0.138455,0.062934,0.734375,0.023438,0.111545,0.014242,0.392547,0.086496,0.446710,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,1,2304,0.730903,0.152344,0.058594,0.724392,0.022569,0.104167,0.014309,0.392547,0.086930,0.444325,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,2,2304,0.741753,0.144965,0.056858,0.741753,0.022569,0.122396,0.014122,0.392547,0.087434,0.444115,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,3,2304,0.746094,0.141493,0.055122,0.733507,0.025608,0.120660,0.014182,0.392547,0.088249,0.442992,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,4,2304,0.745660,0.142361,0.065972,0.734375,0.023872,0.105035,0.014203,0.392547,0.088058,0.443079,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,5,2304,0.719184,0.158420,0.055990,0.737413,0.029080,0.116753,0.014168,0.392547,0.087346,0.445556,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,6,2304,0.732205,0.150608,0.062066,0.711806,0.020833,0.107639,0.014206,0.392547,0.087059,0.444014,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,7,2304,0.751736,0.149306,0.057726,0.726997,0.026042,0.111545,0.014174,0.392547,0.087566,0.445076,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,8,2304,0.743490,0.146701,0.063802,0.732205,0.025174,0.105035,0.014255,0.392547,0.087353,0.442911,0.151013,0.000000
risk_calibrated_force_memory_transformer_v5,9,2304,0.745226,0.147569,0.052517,0.732205,0.018663,0.112847,0.014151,0.392547,0.087332,0.444861,0.151013,0.000000
robust_force_threshold_mpc,0,2304,0.296007,0.233507,0.115451,0.220486,0.053819,0.349392,0.021764,0.350148,0.527387,-0.158752,0.082013,0.000000
robust_force_threshold_mpc,1,2304,0.283854,0.222656,0.105469,0.217014,0.057292,0.359809,0.021747,0.350148,0.526786,-0.159566,0.082013,0.000000
robust_force_threshold_mpc,2,2304,0.302517,0.214844,0.107639,0.220052,0.047743,0.359375,0.021353,0.350148,0.527541,-0.157082,0.082013,0.000000
robust_force_threshold_mpc,3,2304,0.309896,0.231771,0.100694,0.233941,0.045573,0.345052,0.021473,0.350148,0.526818,-0.158415,0.082013,0.000000
robust_force_threshold_mpc,4,2304,0.289931,0.219618,0.108073,0.232205,0.051215,0.362847,0.021247,0.350148,0.526629,-0.158715,0.082013,0.000000
robust_force_threshold_mpc,5,2304,0.293403,0.220052,0.114583,0.213108,0.053385,0.356337,0.021535,0.350148,0.526613,-0.155881,0.082013,0.000000
robust_force_threshold_mpc,6,2304,0.282118,0.218750,0.098958,0.224392,0.054253,0.342014,0.021255,0.350148,0.526201,-0.157961,0.082013,0.000000
robust_force_threshold_mpc,7,2304,0.304253,0.217014,0.108507,0.209635,0.048611,0.341146,0.021034,0.350148,0.526145,-0.155309,0.082013,0.000000
robust_force_threshold_mpc,8,2304,0.300781,0.218316,0.101128,0.207899,0.057292,0.353733,0.021451,0.350148,0.526050,-0.157865,0.082013,0.000000
robust_force_threshold_mpc,9,2304,0.286892,0.211806,0.100694,0.213108,0.047743,0.351997,0.021155,0.350148,0.527201,-0.156991,0.082013,0.000000
