method,seed,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
active_tactile_probe_then_plan,0,2304,0.533420,0.222656,0.125000,0.642361,0.026910,0.133681,0.028948,0.501967,0.268257,0.029909,0.192412,0.000000
active_tactile_probe_then_plan,1,2304,0.572483,0.236111,0.139323,0.627170,0.036024,0.144097,0.029051,0.501967,0.267815,0.027424,0.192412,0.000000
active_tactile_probe_then_plan,2,2304,0.553819,0.241753,0.134549,0.630208,0.032118,0.152778,0.028826,0.501967,0.268380,0.029702,0.192412,0.000000
active_tactile_probe_then_plan,3,2304,0.545573,0.258247,0.119792,0.638021,0.028646,0.144531,0.028889,0.501967,0.268245,0.028916,0.192412,0.000000
active_tactile_probe_then_plan,4,2304,0.552951,0.248698,0.122830,0.637587,0.027344,0.143229,0.029043,0.501967,0.267278,0.032521,0.192412,0.000000
active_tactile_probe_then_plan,5,2304,0.576823,0.235243,0.126302,0.637153,0.028212,0.140625,0.028896,0.501967,0.267674,0.030575,0.192412,0.000000
active_tactile_probe_then_plan,6,2304,0.573351,0.233941,0.128038,0.639323,0.029080,0.141059,0.029031,0.501967,0.267700,0.028319,0.192412,0.000000
active_tactile_probe_then_plan,7,2304,0.562934,0.247396,0.126736,0.631076,0.025174,0.154080,0.028911,0.501967,0.268491,0.030838,0.192412,0.000000
active_tactile_probe_then_plan,8,2304,0.557292,0.243056,0.138021,0.641059,0.034288,0.139757,0.028954,0.501967,0.267776,0.030041,0.192412,0.000000
active_tactile_probe_then_plan,9,2304,0.539931,0.260851,0.134983,0.651476,0.024740,0.152778,0.028758,0.501967,0.267600,0.031722,0.192412,0.000000
adaptive_impedance_mpc,0,2304,0.465278,0.211806,0.099392,0.405382,0.048177,0.234375,0.021537,0.392047,0.358305,0.033972,0.097013,0.000000
adaptive_impedance_mpc,1,2304,0.459201,0.188368,0.107639,0.399306,0.049045,0.222656,0.021718,0.392047,0.358804,0.031118,0.097013,0.000000
adaptive_impedance_mpc,2,2304,0.469618,0.207031,0.101997,0.390191,0.048611,0.240885,0.021654,0.392047,0.359199,0.034112,0.097013,0.000000
adaptive_impedance_mpc,3,2304,0.443576,0.207465,0.097656,0.412326,0.056424,0.225694,0.021429,0.392047,0.358941,0.032700,0.097013,0.000000
adaptive_impedance_mpc,4,2304,0.456163,0.199653,0.101128,0.379340,0.047309,0.229167,0.021729,0.392047,0.358543,0.034726,0.097013,0.000000
adaptive_impedance_mpc,5,2304,0.457031,0.207465,0.095486,0.390191,0.043837,0.231771,0.021318,0.392047,0.357841,0.035663,0.097013,0.000000
adaptive_impedance_mpc,6,2304,0.469618,0.204427,0.116319,0.401042,0.052083,0.230469,0.021483,0.392047,0.358394,0.033096,0.097013,0.000000
adaptive_impedance_mpc,7,2304,0.462240,0.203125,0.098524,0.407118,0.049045,0.230035,0.021198,0.392047,0.359396,0.033782,0.097013,0.000000
adaptive_impedance_mpc,8,2304,0.448785,0.206163,0.097656,0.401042,0.044705,0.213108,0.021797,0.392047,0.358731,0.031788,0.097013,0.000000
adaptive_impedance_mpc,9,2304,0.466146,0.210938,0.100260,0.399306,0.053819,0.233073,0.021754,0.392047,0.358022,0.034204,0.097013,0.000000
conformal_risk_filter,0,2304,0.344184,0.235243,0.119358,0.319010,0.049045,0.336372,0.014186,0.372717,0.486927,-0.154325,0.097913,0.000000
conformal_risk_filter,1,2304,0.329861,0.215712,0.116319,0.316840,0.049045,0.341580,0.014094,0.372717,0.487730,-0.156038,0.097913,0.000000
conformal_risk_filter,2,2304,0.335069,0.226562,0.113715,0.308160,0.041667,0.335069,0.014155,0.372717,0.487461,-0.153569,0.097913,0.000000
conformal_risk_filter,3,2304,0.329861,0.252604,0.127604,0.307726,0.051215,0.315972,0.013918,0.372717,0.487373,-0.156648,0.097913,0.000000
conformal_risk_filter,4,2304,0.335938,0.239149,0.115885,0.324653,0.048611,0.337240,0.014358,0.372717,0.487369,-0.153500,0.097913,0.000000
conformal_risk_filter,5,2304,0.328125,0.240017,0.117622,0.325087,0.048177,0.319010,0.014039,0.372717,0.487422,-0.153537,0.097913,0.000000
conformal_risk_filter,6,2304,0.338542,0.217882,0.125000,0.315104,0.047309,0.338976,0.013866,0.372717,0.487426,-0.155395,0.097913,0.000000
conformal_risk_filter,7,2304,0.346788,0.232639,0.116753,0.296875,0.049045,0.324653,0.013651,0.372717,0.487131,-0.153425,0.097913,0.000000
