split,method,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
combined_contact_stress,active_tactile_probe_then_plan,2880,0.534028,0.365972,0.199653,0.628125,0.032292,0.195833,0.042840,0.512473,0.260716,-0.218018,0.199575,0.000000
combined_contact_stress,adaptive_impedance_mpc,2880,0.446528,0.322569,0.180208,0.392708,0.056597,0.261458,0.036752,0.402553,0.343869,-0.203022,0.104175,0.000000
combined_contact_stress,conformal_risk_filter,2880,0.284722,0.348264,0.204861,0.282639,0.059375,0.367361,0.015887,0.383222,0.495828,-0.419241,0.105075,0.000000
combined_contact_stress,contact_mode_hmm_mpc,2880,0.443750,0.392014,0.215625,0.464931,0.066667,0.256944,0.042830,0.360043,0.337751,-0.318776,0.104475,0.000000
combined_contact_stress,diffusion_policy_force_history,2880,0.301389,0.513194,0.326736,0.307986,0.077083,0.354514,0.054071,0.244903,0.494688,-0.727330,0.072675,0.000000
combined_contact_stress,ensemble_uncertainty_mpc,2880,0.317014,0.451736,0.265625,0.323958,0.071181,0.368750,0.030319,0.297832,0.481918,-0.560216,0.092775,0.000000
combined_contact_stress,force_history_behavior_cloning,2880,0.201389,0.576736,0.369097,0.190278,0.089931,0.403819,0.051555,0.153913,0.593894,-0.925327,0.066375,0.000000
combined_contact_stress,observation_only_transformer,2880,0.115625,0.578472,0.396528,0.112500,0.065625,0.440972,0.034416,0.119513,0.689860,-1.058147,0.060375,0.000000
combined_contact_stress,online_residual_system_id,2880,0.420486,0.419792,0.240972,0.408333,0.068056,0.237500,0.048142,0.364072,0.347571,-0.356455,0.097575,0.000000
combined_contact_stress,oracle_latent_force_planner,2880,0.854514,0.217014,0.084375,0.783333,0.023264,0.098611,0.020266,0.313178,0.000051,0.480191,0.130425,0.000000
combined_contact_stress,particle_filter_force_belief_mpc,2880,0.540278,0.367361,0.211806,0.556944,0.060069,0.222222,0.039690,0.438842,0.253932,-0.160515,0.116475,0.000000
combined_contact_stress,proposed_force_memory_transformer_v4,2880,0.568403,0.379167,0.221528,0.576389,0.063194,0.199306,0.051529,0.360433,0.221613,-0.184057,0.134775,0.000000
combined_contact_stress,recurrent_contact_policy,2880,0.277431,0.524306,0.355556,0.254861,0.092361,0.369792,0.060424,0.189253,0.519443,-0.793554,0.071175,0.000000
combined_contact_stress,risk_calibrated_force_memory_transformer_v5,2880,0.727778,0.258681,0.120833,0.729514,0.027083,0.136111,0.019756,0.403052,0.075539,0.220161,0.158175,0.000000
combined_contact_stress,robust_force_threshold_mpc,2880,0.267014,0.332639,0.187847,0.207986,0.057639,0.393056,0.015811,0.360653,0.533330,-0.418712,0.089175,0.000000
delayed_force_observation,active_tactile_probe_then_plan,2880,0.535417,0.264583,0.145486,0.637847,0.027431,0.143750,0.031800,0.500152,0.285887,-0.040648,0.191175,0.000000
delayed_force_observation,adaptive_impedance_mpc,2880,0.442708,0.237847,0.118750,0.386806,0.037847,0.243403,0.022458,0.390232,0.383524,-0.041424,0.095775,0.000000
delayed_force_observation,conformal_risk_filter,2880,0.324653,0.253125,0.138542,0.318750,0.048958,0.352083,0.006949,0.370902,0.496549,-0.215494,0.096675,0.000000
delayed_force_observation,contact_mode_hmm_mpc,2880,0.464236,0.294444,0.178819,0.477778,0.044097,0.219097,0.029434,0.347722,0.362426,-0.140554,0.096075,0.000000
delayed_force_observation,diffusion_policy_force_history,2880,0.326389,0.433681,0.268056,0.318056,0.060417,0.328819,0.029743,0.232582,0.498379,-0.528172,0.064275,0.000000
delayed_force_observation,ensemble_uncertainty_mpc,2880,0.354514,0.332639,0.216667,0.338542,0.051389,0.345486,0.013519,0.285512,0.484713,-0.357543,0.084375,0.000000
delayed_force_observation,force_history_behavior_cloning,2880,0.232292,0.460417,0.310764,0.208681,0.069097,0.382639,0.023504,0.141593,0.589308,-0.714340,0.057975,0.000000
delayed_force_observation,observation_only_transformer,2880,0.145486,0.488194,0.325347,0.126736,0.045833,0.403819,0.016450,0.107192,0.683676,-0.846754,0.051975,0.000000
delayed_force_observation,online_residual_system_id,2880,0.432986,0.304167,0.194097,0.431597,0.050347,0.215625,0.032334,0.351753,0.385368,-0.189662,0.089175,0.000000
delayed_force_observation,oracle_latent_force_planner,2880,0.835069,0.126042,0.031250,0.805208,0.025000,0.073611,0.016229,0.300858,0.005317,0.626756,0.122025,0.000000
delayed_force_observation,particle_filter_force_belief_mpc,2880,0.525000,0.259028,0.146528,0.584028,0.049306,0.181944,0.029035,0.426523,0.282364,0.014467,0.108075,0.000000
delayed_force_observation,proposed_force_memory_transformer_v4,2880,0.603472,0.306597,0.160764,0.599306,0.044444,0.163889,0.038469,0.348112,0.240284,-0.000439,0.126375,0.000000
delayed_force_observation,recurrent_contact_policy,2880,0.300347,0.445833,0.291319,0.269444,0.070139,0.315625,0.032673,0.176933,0.518668,-0.587869,0.062775,0.000000
