violation_budget,damage_budget,method,seed,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
0.050000,0.050000,adaptive_impedance_mpc,0,1152,0.003472,0.000000,0.000000,0.418403,0.053819,0.256076,0.029349,0.443986,0.346681,0.001711,0.101850,0.007812
0.050000,0.050000,adaptive_impedance_mpc,1,1152,0.003472,0.000000,0.000000,0.408854,0.052083,0.257812,0.029749,0.443934,0.346575,0.002146,0.101850,0.010417
0.050000,0.050000,adaptive_impedance_mpc,2,1152,0.006944,0.000000,0.000000,0.388889,0.056424,0.250868,0.029901,0.443865,0.345879,0.002989,0.101850,0.013889
0.050000,0.050000,adaptive_impedance_mpc,3,1152,0.005208,0.000868,0.000000,0.407986,0.062500,0.258681,0.029769,0.443952,0.346264,0.002003,0.101850,0.009549
0.050000,0.050000,adaptive_impedance_mpc,4,1152,0.000868,0.001736,0.000868,0.376736,0.070312,0.243056,0.029726,0.443917,0.345878,0.002438,0.101850,0.011285
0.050000,0.050000,adaptive_impedance_mpc,5,1152,0.001736,0.000000,0.000000,0.378472,0.067708,0.247396,0.029640,0.444038,0.345619,0.001061,0.101850,0.005208
0.050000,0.050000,adaptive_impedance_mpc,6,1152,0.005208,0.001736,0.000000,0.380208,0.059028,0.244792,0.029263,0.443934,0.346020,0.002314,0.101850,0.010417
0.050000,0.050000,adaptive_impedance_mpc,7,1152,0.001736,0.000000,0.000000,0.386285,0.062500,0.242188,0.029169,0.443969,0.345633,0.001803,0.101850,0.008681
0.050000,0.050000,adaptive_impedance_mpc,8,1152,0.002604,0.000000,0.000000,0.388021,0.057292,0.230035,0.030138,0.443969,0.346340,0.001938,0.101850,0.008681
0.050000,0.050000,adaptive_impedance_mpc,9,1152,0.005208,0.000000,0.000000,0.377604,0.062500,0.261285,0.029654,0.443934,0.344683,0.002230,0.101850,0.010417
0.050000,0.050000,conformal_risk_filter,0,1152,0.000000,0.000000,0.000000,0.300347,0.059896,0.361111,0.013831,0.424813,0.489248,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,1,1152,0.000000,0.000000,0.000000,0.298611,0.049479,0.377604,0.013766,0.424813,0.489100,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,2,1152,0.000000,0.000000,0.000000,0.282986,0.052083,0.368924,0.013726,0.424813,0.489231,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,3,1152,0.000000,0.000000,0.000000,0.302951,0.065972,0.342882,0.013619,0.424813,0.488528,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,4,1152,0.000000,0.000000,0.000000,0.299479,0.056424,0.356771,0.013980,0.424813,0.488889,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,5,1152,0.000000,0.000000,0.000000,0.307292,0.053819,0.348090,0.013320,0.424813,0.489791,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,6,1152,0.000000,0.000000,0.000000,0.282986,0.057292,0.369792,0.013599,0.424813,0.488372,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,7,1152,0.000000,0.000000,0.000000,0.289062,0.050347,0.350694,0.013402,0.424813,0.488884,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,8,1152,0.000000,0.000000,0.000000,0.302083,0.046875,0.354167,0.013968,0.424813,0.489054,0.000000,0.102750,0.000000
0.050000,0.050000,conformal_risk_filter,9,1152,0.000000,0.000000,0.000000,0.313368,0.062500,0.343750,0.013427,0.424813,0.488608,0.000000,0.102750,0.000000
0.050000,0.050000,online_residual_system_id,0,1152,0.000000,0.000000,0.000000,0.425347,0.074653,0.234375,0.040109,0.405662,0.350427,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,1,1152,0.000000,0.000000,0.000000,0.414931,0.075521,0.230903,0.039939,0.405662,0.351180,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,2,1152,0.000000,0.000000,0.000000,0.394097,0.066840,0.228299,0.040067,0.405662,0.349001,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,3,1152,0.000000,0.000000,0.000000,0.408854,0.076389,0.236111,0.039799,0.405662,0.350426,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,4,1152,0.000000,0.000000,0.000000,0.420139,0.066840,0.226562,0.039582,0.405662,0.350200,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,5,1152,0.000000,0.000000,0.000000,0.400174,0.065104,0.249132,0.039921,0.405662,0.350473,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,6,1152,0.000000,0.000000,0.000000,0.408854,0.065972,0.256076,0.039806,0.405662,0.349323,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,7,1152,0.000000,0.000000,0.000000,0.432292,0.081597,0.224826,0.039632,0.405662,0.350626,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,8,1152,0.000000,0.000000,0.000000,0.407986,0.072049,0.266493,0.040367,0.405662,0.350830,0.000000,0.095250,0.000000
0.050000,0.050000,online_residual_system_id,9,1152,0.000000,0.000000,0.000000,0.413194,0.071181,0.230035,0.040060,0.405662,0.350658,0.000000,0.095250,0.000000
0.050000,0.050000,particle_filter_force_belief_mpc,0,1152,0.000000,0.000000,0.000000,0.533854,0.055556,0.210938,0.034065,0.480380,0.253986,0.000729,0.114150,0.002604
0.050000,0.050000,particle_filter_force_belief_mpc,1,1152,0.000868,0.000000,0.000000,0.559896,0.059028,0.216146,0.034195,0.480415,0.254176,0.000233,0.114150,0.000868
0.050000,0.050000,particle_filter_force_belief_mpc,2,1152,0.002604,0.000000,0.000000,0.546007,0.052083,0.236111,0.033893,0.480294,0.254313,0.001999,0.114150,0.006944
0.050000,0.050000,particle_filter_force_belief_mpc,3,1152,0.000000,0.000868,0.000000,0.565972,0.060764,0.203125,0.033852,0.480398,0.254664,0.000484,0.114150,0.001736
0.050000,0.050000,particle_filter_force_belief_mpc,4,1152,0.005208,0.000000,0.000000,0.552951,0.060764,0.203125,0.034166,0.480294,0.255500,0.001887,0.114150,0.006944
0.050000,0.050000,particle_filter_force_belief_mpc,5,1152,0.000868,0.000000,0.000000,0.564236,0.051215,0.197917,0.033894,0.480363,0.254228,0.000920,0.114150,0.003472
0.050000,0.050000,particle_filter_force_belief_mpc,6,1152,0.000868,0.000000,0.000000,0.563368,0.064236,0.188368,0.034032,0.480328,0.253789,0.001449,0.114150,0.005208
0.050000,0.050000,particle_filter_force_belief_mpc,7,1152,0.004340,0.000868,0.000000,0.583333,0.060764,0.201389,0.033807,0.480294,0.253170,0.001863,0.114150,0.006944
0.050000,0.050000,particle_filter_force_belief_mpc,8,1152,0.004340,0.000000,0.000000,0.576389,0.063368,0.210069,0.034551,0.480311,0.254708,0.001686,0.114150,0.006076
0.050000,0.050000,particle_filter_force_belief_mpc,9,1152,0.002604,0.000000,0.000868,0.557292,0.052951,0.199653,0.034039,0.480363,0.254487,0.000957,0.114150,0.003472
0.050000,0.050000,proposed_force_memory_transformer_v4,0,1152,0.000000,0.000000,0.000000,0.592882,0.070312,0.178819,0.044550,0.402022,0.220028,0.000000,0.132450,0.000000
0.050000,0.050000,proposed_force_memory_transformer_v4,1,1152,0.000000,0.000000,0.000000,0.607639,0.051215,0.178819,0.044942,0.402022,0.222341,0.000000,0.132450,0.000000
0.050000,0.050000,proposed_force_memory_transformer_v4,2,1152,0.000000,0.000000,0.000000,0.573785,0.059896,0.171875,0.045015,0.402022,0.221115,0.000000,0.132450,0.000000
0.050000,0.050000,proposed_force_memory_transformer_v4,3,1152,0.000000,0.000000,0.000000,0.553819,0.060764,0.185764,0.044909,0.402022,0.220514,0.000000,0.132450,0.000000
0.050000,0.050000,proposed_force_memory_transformer_v4,4,1152,0.000000,0.000000,0.000000,0.585938,0.060764,0.162326,0.044865,0.402022,0.220741,0.000000,0.132450,0.000000
