ablation,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
full_risk_calibrated_force_memory_transformer_v5,11520,0.726302,0.209549,0.091580,0.718142,0.024479,0.129861,0.017385,0.399642,0.076596,0.324436,0.155850,0.000000
no_decay_memory,11520,0.599913,0.265885,0.144878,0.606250,0.063281,0.180469,0.031755,0.370687,0.203136,0.068145,0.145500,0.000000
no_diagnostic_probes,11520,0.645052,0.255469,0.127517,0.578646,0.052257,0.193142,0.024680,0.294773,0.157791,0.163446,0.085950,0.000000
no_force_event_tokens,11520,0.578559,0.262674,0.138194,0.570399,0.034809,0.193924,0.025620,0.369902,0.229681,0.049599,0.145050,0.000000
no_force_risk_calibration,11520,0.678819,0.263976,0.131076,0.639583,0.066493,0.136198,0.080067,0.351317,0.129784,0.171213,0.147600,0.000000
no_memory_reset_gate,11520,0.621615,0.282292,0.143576,0.627517,0.074740,0.168837,0.032928,0.359272,0.179705,0.084372,0.142950,0.000000
no_tail_risk_planner,11520,0.646267,0.322396,0.177865,0.677951,0.038715,0.143576,0.035438,0.303572,0.157126,0.029176,0.133950,0.000000
online_system_id_only,11520,0.450868,0.341233,0.199653,0.423264,0.070833,0.238628,0.040144,0.360663,0.350281,-0.254276,0.095250,0.000000
recurrent_memory_only,11520,0.343837,0.465017,0.299913,0.310851,0.091580,0.307118,0.049735,0.200553,0.458454,-0.575960,0.071550,0.000000
v4_force_memory_transformer_rules,11520,0.581858,0.324479,0.184462,0.584635,0.064670,0.181771,0.044645,0.357022,0.220803,-0.077676,0.132450,0.000000
