violation_budget,damage_budget,method,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
0.050000,0.050000,adaptive_impedance_mpc,11520,0.003646,0.000434,0.000087,0.391146,0.060417,0.249219,0.029636,0.443950,0.345957,0.002063,0.101850,0.009635
0.050000,0.050000,conformal_risk_filter,11520,0.000000,0.000000,0.000000,0.297917,0.055469,0.357378,0.013664,0.424813,0.488970,0.000000,0.102750,0.000000
0.050000,0.050000,online_residual_system_id,11520,0.000000,0.000000,0.000000,0.412587,0.071615,0.238281,0.039928,0.405663,0.350314,0.000000,0.095250,0.000000
0.050000,0.050000,particle_filter_force_belief_mpc,11520,0.002170,0.000174,0.000087,0.560330,0.058073,0.206684,0.034049,0.480344,0.254302,0.001221,0.114150,0.004427
0.050000,0.050000,proposed_force_memory_transformer_v4,11520,0.000000,0.000000,0.000000,0.582986,0.058681,0.184896,0.044745,0.402023,0.220662,0.000000,0.132450,0.000000
0.050000,0.050000,risk_calibrated_force_memory_transformer_v5,11520,0.358681,0.018663,0.005556,0.720486,0.024826,0.129774,0.017401,0.434288,0.076446,0.284179,0.155850,0.517708
0.100000,0.080000,adaptive_impedance_mpc,11520,0.342361,0.079427,0.049740,0.385156,0.057031,0.248003,0.029611,0.424542,0.345968,0.096832,0.101850,0.980035
0.100000,0.080000,conformal_risk_filter,11520,0.133333,0.055208,0.034288,0.303906,0.056510,0.354514,0.013608,0.412542,0.488843,-0.021959,0.102750,0.613542
0.100000,0.080000,online_residual_system_id,11520,0.180035,0.047309,0.040365,0.405382,0.070052,0.239497,0.040088,0.394284,0.350345,0.022447,0.095250,0.568924
0.100000,0.080000,particle_filter_force_belief_mpc,11520,0.387760,0.088194,0.053646,0.555990,0.057552,0.194358,0.034146,0.462205,0.254357,0.142506,0.114150,0.911372
0.100000,0.080000,proposed_force_memory_transformer_v4,11520,0.255642,0.061545,0.045226,0.582378,0.059549,0.189323,0.044647,0.389139,0.221004,0.085378,0.132450,0.644184
0.100000,0.080000,risk_calibrated_force_memory_transformer_v5,11520,0.676649,0.054340,0.020573,0.726476,0.031250,0.130729,0.017399,0.424643,0.076427,0.504783,0.155850,1.000000
