method,seed,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
active_tactile_probe_then_plan,0,1152,0.518229,0.275174,0.168403,0.640625,0.033854,0.150174,0.037323,0.509062,0.260736,-0.110667,0.197250,0.000000
active_tactile_probe_then_plan,1,1152,0.565104,0.304688,0.187500,0.599826,0.048611,0.177083,0.037293,0.509062,0.260322,-0.114218,0.197250,0.000000
active_tactile_probe_then_plan,2,1152,0.571181,0.315972,0.165799,0.610243,0.041667,0.180556,0.037086,0.509062,0.261103,-0.113706,0.197250,0.000000
active_tactile_probe_then_plan,3,1152,0.530382,0.318576,0.151042,0.622396,0.036458,0.168403,0.037029,0.509062,0.261392,-0.114225,0.197250,0.000000
active_tactile_probe_then_plan,4,1152,0.542535,0.327257,0.163194,0.623264,0.036458,0.154514,0.037200,0.509062,0.259085,-0.107630,0.197250,0.000000
active_tactile_probe_then_plan,5,1152,0.559028,0.296875,0.171875,0.628472,0.034722,0.171007,0.037007,0.509062,0.259976,-0.108866,0.197250,0.000000
active_tactile_probe_then_plan,6,1152,0.563368,0.294271,0.173611,0.630208,0.034722,0.154514,0.037066,0.509062,0.260864,-0.111073,0.197250,0.000000
active_tactile_probe_then_plan,7,1152,0.545139,0.322049,0.159722,0.624132,0.029514,0.178819,0.036927,0.509062,0.261190,-0.107829,0.197250,0.000000
active_tactile_probe_then_plan,8,1152,0.543403,0.318576,0.187500,0.636285,0.044271,0.151910,0.037212,0.509062,0.261107,-0.115731,0.197250,0.000000
active_tactile_probe_then_plan,9,1152,0.532118,0.335069,0.189236,0.631076,0.032118,0.167535,0.036884,0.509062,0.260119,-0.108597,0.197250,0.000000
adaptive_impedance_mpc,0,1152,0.454861,0.290799,0.137153,0.392361,0.060764,0.273438,0.029625,0.399142,0.345351,-0.098844,0.101850,0.000000
adaptive_impedance_mpc,1,1152,0.458333,0.238715,0.153646,0.401910,0.057292,0.244792,0.029550,0.399142,0.346923,-0.102774,0.101850,0.000000
adaptive_impedance_mpc,2,1152,0.470486,0.273438,0.129340,0.377604,0.056424,0.236979,0.029903,0.399142,0.345608,-0.098743,0.101850,0.000000
adaptive_impedance_mpc,3,1152,0.414062,0.262153,0.138889,0.413194,0.063368,0.250868,0.029583,0.399142,0.346150,-0.100244,0.101850,0.000000
adaptive_impedance_mpc,4,1152,0.458333,0.265625,0.151910,0.381944,0.060764,0.247396,0.029861,0.399142,0.345749,-0.099320,0.101850,0.000000
adaptive_impedance_mpc,5,1152,0.458333,0.279514,0.127604,0.383681,0.053819,0.241319,0.029334,0.399142,0.345700,-0.099621,0.101850,0.000000
