ablation,seed,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
no_decay_memory,3,1152,0.600694,0.263021,0.136285,0.593750,0.046875,0.166667,0.031814,0.370688,0.203588,0.065535,0.145500,0.000000
no_decay_memory,4,1152,0.589410,0.261285,0.151910,0.608507,0.052083,0.186632,0.031754,0.370688,0.204086,0.066234,0.145500,0.000000
no_decay_memory,5,1152,0.611111,0.248264,0.164931,0.593750,0.059896,0.192708,0.031532,0.370688,0.203105,0.070229,0.145500,0.000000
no_decay_memory,6,1152,0.584201,0.271701,0.149306,0.615451,0.078125,0.178819,0.031551,0.370688,0.203399,0.068007,0.145500,0.000000
no_decay_memory,7,1152,0.602431,0.237847,0.141493,0.605035,0.056424,0.171007,0.031666,0.370688,0.202915,0.071119,0.145500,0.000000
no_decay_memory,8,1152,0.598958,0.265625,0.148438,0.614583,0.058160,0.164062,0.031973,0.370688,0.203106,0.064888,0.145500,0.000000
no_decay_memory,9,1152,0.596354,0.277778,0.135417,0.599826,0.083333,0.188368,0.031793,0.370688,0.203145,0.068949,0.145500,0.000000
no_diagnostic_probes,0,1152,0.644097,0.248264,0.124132,0.577257,0.058160,0.198785,0.024643,0.294772,0.157136,0.164024,0.085950,0.000000
no_diagnostic_probes,1,1152,0.656250,0.288194,0.136285,0.569444,0.044271,0.197917,0.024748,0.294772,0.158373,0.161136,0.085950,0.000000
no_diagnostic_probes,2,1152,0.642361,0.237847,0.127604,0.568576,0.050347,0.184896,0.024744,0.294772,0.157955,0.164081,0.085950,0.000000
no_diagnostic_probes,3,1152,0.644965,0.236111,0.113715,0.589410,0.062500,0.176215,0.024791,0.294772,0.158377,0.162056,0.085950,0.000000
no_diagnostic_probes,4,1152,0.662326,0.267361,0.131944,0.584201,0.051215,0.191840,0.024675,0.294772,0.157507,0.161543,0.085950,0.000000
no_diagnostic_probes,5,1152,0.639757,0.249132,0.133681,0.578993,0.048611,0.186632,0.024575,0.294772,0.158271,0.165289,0.085950,0.000000
no_diagnostic_probes,6,1152,0.659722,0.283854,0.125868,0.564236,0.044271,0.204861,0.024738,0.294772,0.156588,0.164636,0.085950,0.000000
no_diagnostic_probes,7,1152,0.633681,0.255208,0.125000,0.596354,0.059896,0.195312,0.024442,0.294772,0.158316,0.165818,0.085950,0.000000
no_diagnostic_probes,8,1152,0.628472,0.228299,0.137153,0.572917,0.051215,0.194444,0.024867,0.294772,0.158134,0.160606,0.085950,0.000000
no_diagnostic_probes,9,1152,0.638889,0.260417,0.119792,0.585069,0.052083,0.200521,0.024574,0.294772,0.157258,0.165276,0.085950,0.000000
no_force_event_tokens,0,1152,0.581597,0.255208,0.125000,0.575521,0.029514,0.198785,0.025703,0.369902,0.229021,0.049764,0.145050,0.000000
no_force_event_tokens,1,1152,0.571181,0.262153,0.142361,0.568576,0.039062,0.213542,0.025810,0.369902,0.229797,0.046385,0.145050,0.000000
no_force_event_tokens,2,1152,0.577257,0.261285,0.137153,0.587674,0.039062,0.186632,0.025447,0.369902,0.229490,0.047395,0.145050,0.000000
no_force_event_tokens,3,1152,0.581597,0.243924,0.144097,0.566840,0.043403,0.189236,0.025724,0.369902,0.230107,0.048168,0.145050,0.000000
no_force_event_tokens,4,1152,0.578993,0.276042,0.134549,0.573785,0.019097,0.181424,0.025612,0.369902,0.228856,0.049060,0.145050,0.000000
no_force_event_tokens,5,1152,0.587674,0.271701,0.141493,0.554688,0.037326,0.191840,0.025724,0.369902,0.228966,0.052187,0.145050,0.000000
no_force_event_tokens,6,1152,0.578993,0.264757,0.141493,0.562500,0.032118,0.189236,0.025545,0.369902,0.229260,0.054116,0.145050,0.000000
no_force_event_tokens,7,1152,0.570312,0.269097,0.127604,0.568576,0.029514,0.209201,0.025251,0.369902,0.230110,0.052240,0.145050,0.000000
no_force_event_tokens,8,1152,0.592882,0.263021,0.141493,0.563368,0.041667,0.191840,0.025884,0.369902,0.230191,0.047905,0.145050,0.000000
no_force_event_tokens,9,1152,0.565104,0.259549,0.146701,0.582465,0.037326,0.187500,0.025504,0.369902,0.231008,0.048766,0.145050,0.000000
no_force_risk_calibration,0,1152,0.698785,0.253472,0.111979,0.656250,0.069444,0.124132,0.080171,0.351318,0.129697,0.171409,0.147600,0.000000
no_force_risk_calibration,1,1152,0.674479,0.268229,0.144965,0.634549,0.062500,0.135417,0.080163,0.351318,0.129617,0.171287,0.147600,0.000000
no_force_risk_calibration,2,1152,0.669271,0.252604,0.130208,0.643229,0.066840,0.141493,0.079915,0.351318,0.129942,0.171530,0.147600,0.000000
no_force_risk_calibration,3,1152,0.694444,0.285590,0.147569,0.637153,0.078125,0.140625,0.080360,0.351318,0.130695,0.170181,0.147600,0.000000
no_force_risk_calibration,4,1152,0.693576,0.265625,0.134549,0.643229,0.059896,0.130208,0.080083,0.351318,0.129509,0.170367,0.147600,0.000000
no_force_risk_calibration,5,1152,0.671007,0.251736,0.119792,0.625000,0.064236,0.137153,0.079342,0.351318,0.129917,0.172217,0.147600,0.000000
no_force_risk_calibration,6,1152,0.670139,0.276910,0.124132,0.664931,0.068576,0.159722,0.079628,0.351318,0.129675,0.172048,0.147600,0.000000
no_force_risk_calibration,7,1152,0.665799,0.260417,0.139757,0.644965,0.063368,0.125868,0.080245,0.351318,0.129250,0.174378,0.147600,0.000000
no_force_risk_calibration,8,1152,0.681424,0.273438,0.138889,0.618056,0.066840,0.134549,0.080710,0.351318,0.130085,0.166241,0.147600,0.000000
no_force_risk_calibration,9,1152,0.669271,0.251736,0.118924,0.628472,0.065104,0.132812,0.080052,0.351318,0.129449,0.172467,0.147600,0.000000
no_memory_reset_gate,0,1152,0.621528,0.290799,0.151910,0.649306,0.073785,0.167535,0.033046,0.359273,0.179703,0.085952,0.142950,0.000000
no_memory_reset_gate,1,1152,0.611111,0.257812,0.155382,0.640625,0.072917,0.178819,0.033044,0.359273,0.180486,0.082290,0.142950,0.000000
no_memory_reset_gate,2,1152,0.634549,0.293403,0.146701,0.638889,0.086806,0.178819,0.032979,0.359273,0.179245,0.084467,0.142950,0.000000
no_memory_reset_gate,3,1152,0.651042,0.281250,0.151910,0.655382,0.074653,0.159722,0.032919,0.359273,0.180100,0.082467,0.142950,0.000000
no_memory_reset_gate,4,1152,0.615451,0.285590,0.137153,0.613715,0.068576,0.164062,0.033154,0.359273,0.178410,0.084079,0.142950,0.000000
no_memory_reset_gate,5,1152,0.611111,0.275174,0.127604,0.611111,0.078125,0.153646,0.032859,0.359273,0.179198,0.086859,0.142950,0.000000
no_memory_reset_gate,6,1152,0.620660,0.291667,0.114583,0.626736,0.065104,0.181424,0.032823,0.359273,0.179971,0.085757,0.142950,0.000000
no_memory_reset_gate,7,1152,0.620660,0.303819,0.151910,0.621528,0.072049,0.173611,0.032750,0.359273,0.178673,0.087707,0.142950,0.000000
no_memory_reset_gate,8,1152,0.627604,0.285590,0.147569,0.614583,0.078125,0.162326,0.032783,0.359273,0.180745,0.079567,0.142950,0.000000
no_memory_reset_gate,9,1152,0.602431,0.257812,0.151042,0.603299,0.077257,0.168403,0.032927,0.359273,0.180523,0.084572,0.142950,0.000000
no_tail_risk_planner,0,1152,0.657986,0.323785,0.173611,0.663194,0.032986,0.132812,0.035540,0.303573,0.157223,0.031964,0.133950,0.000000
no_tail_risk_planner,1,1152,0.651910,0.305556,0.184028,0.692708,0.030382,0.148438,0.035606,0.303573,0.156897,0.029849,0.133950,0.000000
no_tail_risk_planner,2,1152,0.663194,0.310764,0.183160,0.689236,0.032118,0.138021,0.035318,0.303573,0.157292,0.027641,0.133950,0.000000
no_tail_risk_planner,3,1152,0.627604,0.319444,0.173611,0.680556,0.046007,0.138889,0.035473,0.303573,0.156841,0.027324,0.133950,0.000000
no_tail_risk_planner,4,1152,0.621528,0.323785,0.184896,0.684028,0.044271,0.135417,0.035575,0.303573,0.156857,0.027446,0.133950,0.000000
no_tail_risk_planner,5,1152,0.640625,0.328125,0.180556,0.678819,0.035590,0.138021,0.035260,0.303573,0.157122,0.031378,0.133950,0.000000
no_tail_risk_planner,6,1152,0.684896,0.308160,0.171875,0.658854,0.039062,0.138889,0.035242,0.303573,0.156676,0.030460,0.133950,0.000000
no_tail_risk_planner,7,1152,0.641493,0.339410,0.177083,0.688368,0.046007,0.149306,0.035301,0.303573,0.157288,0.031587,0.133950,0.000000
no_tail_risk_planner,8,1152,0.651910,0.327257,0.182292,0.687500,0.032986,0.151910,0.035722,0.303573,0.157681,0.024649,0.133950,0.000000
no_tail_risk_planner,9,1152,0.621528,0.337674,0.167535,0.656250,0.047743,0.164062,0.035347,0.303573,0.157385,0.029466,0.133950,0.000000
online_system_id_only,0,1152,0.467014,0.332465,0.200521,0.432292,0.072917,0.255208,0.040149,0.360663,0.349872,-0.254976,0.095250,0.000000
online_system_id_only,1,1152,0.436632,0.333333,0.206597,0.415799,0.078125,0.246528,0.040218,0.360663,0.350443,-0.255633,0.095250,0.000000
online_system_id_only,2,1152,0.463542,0.351562,0.201389,0.390625,0.062500,0.245660,0.039924,0.360663,0.350830,-0.255370,0.095250,0.000000
online_system_id_only,3,1152,0.449653,0.344618,0.208333,0.434896,0.065972,0.254340,0.040322,0.360663,0.350140,-0.254739,0.095250,0.000000
online_system_id_only,4,1152,0.439236,0.347222,0.197917,0.421007,0.075521,0.218750,0.040270,0.360663,0.349283,-0.254931,0.095250,0.000000
online_system_id_only,5,1152,0.449653,0.356771,0.204861,0.424479,0.069444,0.231771,0.039741,0.360663,0.350529,-0.252377,0.095250,0.000000
online_system_id_only,6,1152,0.460069,0.355035,0.169271,0.457465,0.077257,0.223958,0.039919,0.360663,0.350250,-0.253131,0.095250,0.000000
online_system_id_only,7,1152,0.446181,0.333333,0.216146,0.412326,0.070312,0.235243,0.039903,0.360663,0.350754,-0.252686,0.095250,0.000000
online_system_id_only,8,1152,0.443576,0.329861,0.205729,0.422743,0.068576,0.234375,0.040717,0.360663,0.350470,-0.256164,0.095250,0.000000
online_system_id_only,9,1152,0.453125,0.328125,0.185764,0.421007,0.067708,0.240451,0.040280,0.360663,0.350240,-0.252755,0.095250,0.000000
recurrent_memory_only,0,1152,0.316840,0.470486,0.296875,0.305556,0.102431,0.300347,0.049475,0.200552,0.458104,-0.574402,0.071550,0.000000
recurrent_memory_only,1,1152,0.344618,0.489583,0.294271,0.326389,0.094618,0.329861,0.049553,0.200552,0.458384,-0.577374,0.071550,0.000000
recurrent_memory_only,2,1152,0.344618,0.447049,0.307292,0.308160,0.096354,0.295139,0.049419,0.200552,0.458655,-0.577248,0.071550,0.000000
recurrent_memory_only,3,1152,0.377604,0.437500,0.293403,0.313368,0.085938,0.315104,0.049703,0.200552,0.457226,-0.576495,0.071550,0.000000
recurrent_memory_only,4,1152,0.355035,0.460938,0.299479,0.301215,0.079861,0.300347,0.050050,0.200552,0.457506,-0.578817,0.071550,0.000000
recurrent_memory_only,5,1152,0.335938,0.472222,0.290799,0.313368,0.092014,0.318576,0.049143,0.200552,0.458823,-0.574022,0.071550,0.000000
recurrent_memory_only,6,1152,0.357639,0.469618,0.303819,0.318576,0.094618,0.315972,0.049983,0.200552,0.458306,-0.574895,0.071550,0.000000
recurrent_memory_only,7,1152,0.346354,0.460938,0.300347,0.282986,0.086806,0.302951,0.049770,0.200552,0.459236,-0.573897,0.071550,0.000000
recurrent_memory_only,8,1152,0.314236,0.462674,0.296007,0.310764,0.092882,0.298611,0.050342,0.200552,0.460077,-0.579148,0.071550,0.000000
recurrent_memory_only,9,1152,0.345486,0.479167,0.316840,0.328125,0.090278,0.294271,0.049912,0.200552,0.458222,-0.573302,0.071550,0.000000
v4_force_memory_transformer_rules,0,1152,0.592014,0.328125,0.195312,0.589410,0.064236,0.180556,0.044487,0.357023,0.220662,-0.076423,0.132450,0.000000
v4_force_memory_transformer_rules,1,1152,0.575521,0.337674,0.190104,0.565972,0.064236,0.177951,0.044613,0.357023,0.220967,-0.078296,0.132450,0.000000
v4_force_memory_transformer_rules,2,1152,0.569444,0.333333,0.178819,0.579861,0.062500,0.181424,0.044703,0.357023,0.220156,-0.075544,0.132450,0.000000
v4_force_memory_transformer_rules,3,1152,0.570312,0.313368,0.189236,0.580729,0.068576,0.184028,0.044867,0.357023,0.221424,-0.080919,0.132450,0.000000
v4_force_memory_transformer_rules,4,1152,0.589410,0.309028,0.192708,0.572049,0.070312,0.186632,0.044840,0.357023,0.219943,-0.077309,0.132450,0.000000
v4_force_memory_transformer_rules,5,1152,0.569444,0.305556,0.177951,0.565972,0.063368,0.173611,0.044539,0.357023,0.221601,-0.074669,0.132450,0.000000
v4_force_memory_transformer_rules,6,1152,0.595486,0.325521,0.182292,0.588542,0.057292,0.196181,0.044538,0.357023,0.219604,-0.078087,0.132450,0.000000
v4_force_memory_transformer_rules,7,1152,0.565104,0.324653,0.169271,0.607639,0.063368,0.190972,0.044249,0.357023,0.222618,-0.075255,0.132450,0.000000
v4_force_memory_transformer_rules,8,1152,0.608507,0.321181,0.181424,0.598090,0.061632,0.169271,0.045083,0.357023,0.220587,-0.081963,0.132450,0.000000
v4_force_memory_transformer_rules,9,1152,0.583333,0.346354,0.187500,0.598090,0.071181,0.177083,0.044535,0.357023,0.220465,-0.078300,0.132450,0.000000
