ablation,seed,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
full_risk_calibrated_force_memory_transformer_v5,0,1152,0.710938,0.220486,0.105035,0.711806,0.023438,0.120660,0.017401,0.399643,0.076708,0.324851,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,1,1152,0.742188,0.195312,0.092014,0.703993,0.016493,0.134549,0.017493,0.399643,0.076418,0.323865,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,2,1152,0.727431,0.214410,0.093750,0.729167,0.021701,0.138021,0.017476,0.399643,0.077347,0.321713,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,3,1152,0.732639,0.213542,0.090278,0.738715,0.023438,0.122396,0.017533,0.399643,0.076066,0.326744,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,4,1152,0.750868,0.219618,0.088542,0.726562,0.025174,0.127604,0.017329,0.399643,0.076310,0.323312,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,5,1152,0.718750,0.184028,0.097222,0.717882,0.023438,0.122396,0.017324,0.399643,0.076573,0.326640,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,6,1152,0.732639,0.226562,0.090278,0.690972,0.041667,0.115451,0.017293,0.399643,0.076847,0.325410,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,7,1152,0.722222,0.191840,0.090278,0.723090,0.020833,0.146701,0.017292,0.399643,0.077046,0.326112,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,8,1152,0.718750,0.240451,0.080729,0.732639,0.029514,0.147569,0.017407,0.399643,0.076381,0.320281,0.155850,0.000000
full_risk_calibrated_force_memory_transformer_v5,9,1152,0.706597,0.189236,0.087674,0.706597,0.019097,0.123264,0.017302,0.399643,0.076266,0.325435,0.155850,0.000000
no_decay_memory,0,1152,0.617188,0.306424,0.138889,0.622396,0.062500,0.193576,0.031824,0.370688,0.201963,0.070059,0.145500,0.000000
no_decay_memory,1,1152,0.605035,0.255208,0.159722,0.599826,0.071181,0.186632,0.031880,0.370688,0.203569,0.067358,0.145500,0.000000
no_decay_memory,2,1152,0.593750,0.271701,0.122396,0.609375,0.064236,0.176215,0.031761,0.370688,0.202489,0.069069,0.145500,0.000000
